state,total_districts,black_vap,total_vap,black_vap_pct,black_districts_25.0,black_district_25.0_pct,black_districts_30.0,black_district_30.0_pct,black_districts_35.0,black_district_35.0_pct,black_districts_40.0,black_district_40.0_pct,black_districts_45.0,black_district_45.0_pct,black_districts_50.0,black_district_50.0_pct
NJ,12,883471.0,6726680.0,13.134,1,8.333,1,8.333,1,8.333,1,8.333,1,8.333,1,8.333
GA,14,2097470.0,7196101.0,29.147,7,50.0,5,35.714,4,28.571,4,28.571,4,28.571,3,21.429
MD,8,1256052.0,4420588.0,28.414,4,50.0,3,37.5,3,37.5,2,25.0,2,25.0,2,25.0
MS,4,767499.0,2211742.0,34.701,2,50.0,2,50.0,1,25.0,1,25.0,1,25.0,1,25.0
VA,11,1151835.0,6147347.0,18.737,2,18.182,2,18.182,1,9.091,1,9.091,1,9.091,1,9.091
FL,27,2136430.0,14799219.0,14.436,3,11.111,3,11.111,3,11.111,3,11.111,3,11.111,1,3.704
IL,18,1335818.0,9701453.0,13.769,3,16.667,3,16.667,3,16.667,3,16.667,3,16.667,3,16.667
NY,27,2292769.0,15053173.0,15.231,6,22.222,6,22.222,4,14.815,3,11.111,3,11.111,3,11.111
TN,9,755492.0,4850104.0,15.577,1,11.111,1,11.111,1,11.111,1,11.111,1,11.111,1,11.111
TX,36,2123923.0,18279737.0,11.619,3,8.333,3,8.333,3,8.333,2,5.556,1,2.778,0,0.0
LA,6,1026233.0,3415357.0,30.048,3,50.0,3,50.0,1,16.667,1,16.667,1,16.667,1,16.667
AR,4,315462.0,2204443.0,14.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NM,3,31019.0,1540507.0,2.014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AZ,9,182710.0,4763003.0,3.836,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SC,7,939461.0,3544890.0,26.502,3,42.857,1,14.286,1,14.286,1,14.286,1,14.286,1,14.286
DE,1,137742.0,692169.0,19.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NC,13,1497453.0,7253848.0,20.644,3,23.077,3,23.077,2,15.385,2,15.385,2,15.385,1,7.692
AL,7,628355.0,2610578.0,24.07,1,14.286,1,14.286,1,14.286,1,14.286,1,14.286,1,14.286
NV,4,158545.0,2035543.0,7.789,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
