district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,702905,596414,9647,16487,16881,1225,32227,30024,84.85,1.372,2.346,2.402,0.174,4.585,4.271
02,702905,563643,11919,18624,24236,1367,52054,31062,80.188,1.696,2.65,3.448,0.194,7.406,4.419
03,702906,440369,43431,9450,71256,3480,90415,44505,62.65,6.179,1.344,10.137,0.495,12.863,6.332
04,702906,598375,8853,9629,28531,1343,27484,28691,85.129,1.259,1.37,4.059,0.191,3.91,4.082
05,702905,446773,47189,7776,75549,3472,84386,37760,63.561,6.713,1.106,10.748,0.494,12.005,5.372
06,702905,347201,93074,8388,107490,8929,87169,50654,49.395,13.241,1.193,15.292,1.27,12.401,7.206
07,702904,454351,54009,5835,97769,5146,42706,43088,64.639,7.684,0.83,13.909,0.732,6.076,6.13
08,702905,464258,55834,11510,21056,2771,110846,36630,66.048,7.943,1.637,2.996,0.394,15.77,5.211
09,702904,361457,61449,7149,97112,3575,126945,45217,51.423,8.742,1.017,13.816,0.509,18.06,6.433
10,702905,452194,25057,7704,44451,4653,128226,40620,64.332,3.565,1.096,6.324,0.662,18.242,5.779
11,702906,419428,64791,3891,88675,3280,83227,39614,59.671,9.218,0.554,12.615,0.467,11.84,5.636
12,702905,354530,43080,3616,221351,3027,44432,32869,50.438,6.129,0.514,31.491,0.431,6.321,4.676
13,702906,294338,138558,4766,146708,3508,73632,41396,41.874,19.712,0.678,20.872,0.499,10.475,5.889
14,702905,333777,24431,3210,215663,9835,78413,37576,47.485,3.476,0.457,30.682,1.399,11.156,5.346
15,702904,333442,48002,4351,191838,8188,73665,43418,47.438,6.829,0.619,27.292,1.165,10.48,6.177
16,702904,354768,44804,13361,61503,1226,194647,32595,50.472,6.374,1.901,8.75,0.174,27.692,4.637
17,702904,240800,17769,3304,347839,3534,56258,33400,34.258,2.528,0.47,49.486,0.503,8.004,4.752
18,702906,465084,14251,3505,132760,2723,49899,34684,66.166,2.027,0.499,18.887,0.387,7.099,4.934
19,702904,312455,22151,7421,181720,2941,140347,35869,44.452,3.151,1.056,25.853,0.418,19.967,5.103
20,702906,422052,16078,8736,37283,2462,181081,35214,60.044,2.287,1.243,5.304,0.35,25.762,5.01
21,702904,350388,34509,10892,24770,653,252633,29059,49.849,4.909,1.55,3.524,0.093,35.941,4.134
22,702905,443997,22394,8979,52141,1025,142504,31865,63.166,3.186,1.277,7.418,0.146,20.274,4.533
23,702904,466424,44016,11295,31839,1434,114756,33140,66.357,6.262,1.607,4.53,0.204,16.326,4.715
24,702904,525539,14182,8137,29360,1216,94427,30043,74.767,2.018,1.158,4.177,0.173,13.434,4.274
25,702904,438566,59268,5040,54245,1205,110134,34446,62.393,8.432,0.717,7.717,0.171,15.668,4.901
26,702905,474135,13485,7288,45022,1469,130198,31308,67.454,1.918,1.037,6.405,0.209,18.523,4.454
27,702905,305651,33209,3830,261310,597,71007,27301,43.484,4.725,0.545,37.176,0.085,10.102,3.884
28,702904,478855,17712,3303,95806,640,74798,31790,68.125,2.52,0.47,13.63,0.091,10.641,4.523
29,702905,351830,28820,5876,53454,879,230601,31445,50.054,4.1,0.836,7.605,0.125,32.807,4.474
30,702904,468282,31557,3228,84386,875,80624,33952,66.621,4.49,0.459,12.005,0.124,11.47,4.83
31,702905,372108,81515,7152,50196,2473,153167,36294,52.939,11.597,1.017,7.141,0.352,21.791,5.163
32,702905,357442,20430,6759,107535,1071,180601,29067,50.852,2.907,0.962,15.299,0.152,25.694,4.135
33,702904,528419,20236,2050,94731,1116,24236,32116,75.177,2.879,0.292,13.477,0.159,3.448,4.569
34,702904,268582,34119,7781,137813,675,222956,30978,38.21,4.854,1.107,19.606,0.096,31.719,4.407
35,702905,350570,50906,7674,44209,1779,215564,32203,49.874,7.242,1.092,6.289,0.253,30.668,4.581
36,702905,469272,27895,9588,21172,1169,146779,27030,66.762,3.969,1.364,3.012,0.166,20.882,3.845
37,702904,274425,177775,4877,65391,984,145206,34246,39.042,25.292,0.694,9.303,0.14,20.658,4.872
38,702905,368659,27851,7251,101781,2325,165172,29866,52.448,3.962,1.032,14.48,0.331,23.498,4.249
39,702905,357902,17511,4191,201042,1425,91556,29278,50.918,2.491,0.596,28.602,0.203,13.025,4.165
40,702904,324620,39005,7150,16306,1135,287085,27603,46.183,5.549,1.017,2.32,0.161,40.843,3.927
41,702904,354396,71062,7228,40127,2951,191381,35759,50.419,10.11,1.028,5.709,0.42,27.227,5.087
42,702906,454306,38316,5967,61320,2418,103618,36961,64.633,5.451,0.849,8.724,0.344,14.741,5.258
43,702904,239296,170664,4366,86677,4009,164767,33125,34.044,24.28,0.621,12.331,0.57,23.441,4.713
44,702904,257362,121853,5788,38630,6548,242944,29779,36.614,17.336,0.823,5.496,0.932,34.563,4.237
45,702906,461588,11034,2537,146596,1354,46892,32905,65.669,1.57,0.361,20.856,0.193,6.671,4.681
46,702906,351403,15183,6315,81154,2968,217832,28051,49.993,2.16,0.898,11.545,0.422,30.99,3.991
47,702905,344720,53903,4924,147493,5142,112137,34586,49.042,7.669,0.701,20.983,0.732,15.953,4.92
48,702906,483609,7620,3319,121862,2116,55444,28936,68.801,1.084,0.472,17.337,0.301,7.888,4.117
49,702906,525143,18054,5112,46027,3744,72012,32814,74.71,2.568,0.727,6.548,0.533,10.245,4.668
50,702905,506169,18102,10064,35216,2275,96805,34274,72.011,2.575,1.432,5.01,0.324,13.772,4.876
51,702906,344474,52212,7979,56888,3197,204985,33171,49.007,7.428,1.135,8.093,0.455,29.163,4.719
52,702904,485754,21802,3114,125425,2272,29775,34762,69.107,3.102,0.443,17.844,0.323,4.236,4.945
53,702904,414339,58495,5034,91412,4562,86717,42345,58.947,8.322,0.716,13.005,0.649,12.337,6.024
