district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,732658,512862,125882,1978,33150,254,40024,18508,70.0,17.182,0.27,4.525,0.035,5.463,2.526
02,732658,542321,96639,3479,26266,220,43665,20068,74.021,13.19,0.475,3.585,0.03,5.96,2.739
03,732658,597274,78576,1406,24363,274,13872,16893,81.522,10.725,0.192,3.325,0.037,1.893,2.306
04,732657,619874,49067,1332,27601,273,21685,12825,84.606,6.697,0.182,3.767,0.037,2.96,1.75
05,732658,590611,34258,1662,66763,185,23857,15322,80.612,4.676,0.227,9.112,0.025,3.256,2.091
06,732657,454434,75249,2603,123598,256,54698,21819,62.025,10.271,0.355,16.87,0.035,7.466,2.978
07,732658,606947,30629,975,59876,219,19290,14722,82.842,4.181,0.133,8.172,0.03,2.633,2.009
08,732658,420928,81614,5511,58797,376,130421,35011,57.452,11.139,0.752,8.025,0.051,17.801,4.779
09,732658,434339,83341,3829,88334,221,96159,26435,59.283,11.375,0.523,12.057,0.03,13.125,3.608
10,732658,213046,391369,2822,47605,311,53915,23590,29.079,53.418,0.385,6.498,0.042,7.359,3.22
11,732658,610275,26745,999,63969,125,16236,14309,83.296,3.65,0.136,8.731,0.017,2.216,1.953
12,732658,426337,131457,2430,105404,329,45900,20801,58.19,17.942,0.332,14.387,0.045,6.265,2.839
