district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,733499,275137,393367,6308,10022,354,35022,13289,37.51,53.629,0.86,1.366,0.048,4.775,1.812
02,733499,522810,121038,8643,22549,1010,35737,21712,71.276,16.501,1.178,3.074,0.138,4.872,2.96
03,733499,544883,136863,3775,9105,875,19220,18778,74.285,18.659,0.515,1.241,0.119,2.62,2.56
04,733498,388765,237345,4621,37318,893,41493,23063,53.002,32.358,0.63,5.088,0.122,5.657,3.144
05,733499,581890,91225,2502,10575,295,34202,12810,79.331,12.437,0.341,1.442,0.04,4.663,1.746
06,733499,574164,107914,3188,13926,258,20845,13204,78.277,14.712,0.435,1.899,0.035,2.842,1.8
07,733498,529899,128061,15209,4596,425,41798,13510,72.243,17.459,2.073,0.627,0.058,5.698,1.842
08,733499,484639,137079,54212,8283,290,35206,13790,66.072,18.688,7.391,1.129,0.04,4.8,1.88
09,733498,572986,91255,2576,27948,307,22988,15438,78.117,12.441,0.351,3.81,0.042,3.134,2.105
10,733499,603153,84755,2508,9949,367,19365,13402,82.23,11.555,0.342,1.356,0.05,2.64,1.827
11,733499,659867,22833,11024,7561,670,19500,12044,89.962,3.113,1.503,1.031,0.091,2.658,1.642
12,733499,246317,372326,4276,29717,620,59999,20244,33.581,50.76,0.583,4.051,0.085,8.18,2.76
13,733498,544440,124567,3268,17413,240,28655,14915,74.225,16.983,0.446,2.374,0.033,3.907,2.033
