district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,698488,495122,124118,3816,6398,231,55374,13429,70.885,17.77,0.546,0.916,0.033,7.928,1.923
02,698488,480583,67867,4151,49688,757,73833,21609,68.803,9.716,0.594,7.114,0.108,10.57,3.094
03,698488,494757,59425,3826,84539,399,34689,20853,70.833,8.508,0.548,12.103,0.057,4.966,2.985
04,698488,557203,75197,6755,6161,417,36986,15769,79.773,10.766,0.967,0.882,0.06,5.295,2.258
05,698488,488844,98874,5330,12849,342,75046,17203,69.986,14.155,0.763,1.84,0.049,10.744,2.463
06,698498,456434,127045,4103,33060,955,56783,20118,65.345,18.188,0.587,4.733,0.137,8.129,2.88
07,698488,455128,81203,4529,65662,402,67548,24016,65.159,11.626,0.648,9.401,0.058,9.671,3.438
08,698488,556452,58149,4571,14282,434,48654,15946,79.665,8.325,0.654,2.045,0.062,6.966,2.283
09,698488,217409,274472,4193,77983,402,100227,23802,31.126,39.295,0.6,11.165,0.058,14.349,3.408
10,698487,507084,72081,4638,30371,370,64420,19523,72.597,10.32,0.664,4.348,0.053,9.223,2.795
11,698488,574063,26078,5432,5182,398,72074,15261,82.187,3.733,0.778,0.742,0.057,10.319,2.185
12,698488,546837,55175,4976,21444,609,50515,18932,78.289,7.899,0.712,3.07,0.087,7.232,2.71
13,698488,568496,37902,6296,11746,306,56757,16985,81.39,5.426,0.901,1.682,0.044,8.126,2.432
14,698472,458262,142767,4089,19410,266,56911,16767,65.609,20.44,0.585,2.779,0.038,8.148,2.401
15,698488,597051,12198,2979,7570,219,66836,11635,85.478,1.746,0.426,1.084,0.031,9.569,1.666
16,698488,567171,24321,4864,8155,983,74472,18522,81.2,3.482,0.696,1.168,0.141,10.662,2.652
17,698487,488105,95105,4039,28072,414,64952,17800,69.88,13.616,0.578,4.019,0.059,9.299,2.548
18,698488,260833,282819,4495,23350,639,106360,19992,37.343,40.49,0.644,3.343,0.091,15.227,2.862
19,698487,544619,43191,5235,8888,406,78668,17480,77.971,6.184,0.749,1.272,0.058,11.263,2.503
20,698488,512740,34453,6267,17647,934,102095,24352,73.407,4.933,0.897,2.526,0.134,14.617,3.486
21,698488,581663,24170,4265,21251,622,47120,19397,83.275,3.46,0.611,3.042,0.089,6.746,2.777
22,698504,421490,88537,3043,111513,350,53277,20294,60.342,12.675,0.436,15.965,0.05,7.627,2.905
23,698488,570441,22054,5662,8503,431,74971,16426,81.668,3.157,0.811,1.217,0.062,10.733,2.352
24,698488,465548,70840,4160,74566,1995,60456,20923,66.651,10.142,0.596,10.675,0.286,8.655,2.995
25,698478,560623,51308,4594,18982,1927,41050,19994,80.264,7.346,0.658,2.718,0.276,5.877,2.863
26,698488,549850,48571,4862,35135,648,39500,19922,78.72,6.954,0.696,5.03,0.093,5.655,2.852
27,698487,559325,38108,4364,9903,430,69893,16464,80.077,5.456,0.625,1.418,0.062,10.006,2.357
28,698488,587870,31339,3304,6980,524,54298,14173,84.163,4.487,0.473,0.999,0.075,7.774,2.029
29,698488,408163,70999,6489,11071,327,176339,25100,58.435,10.165,0.929,1.585,0.047,25.246,3.593
30,698487,239534,316605,4297,12547,315,108028,17161,34.293,45.327,0.615,1.796,0.045,15.466,2.457
31,698487,506251,80168,4833,27972,2314,50516,26433,72.478,11.477,0.692,4.005,0.331,7.232,3.784
32,698488,469069,85621,4539,50217,294,69243,19505,67.155,12.258,0.65,7.189,0.042,9.913,2.792
33,698488,355864,115279,6221,14274,399,184031,22420,50.948,16.504,0.891,2.044,0.057,26.347,3.21
34,698487,601336,9727,2947,4470,198,68525,11284,86.091,1.393,0.422,0.64,0.028,9.81,1.615
35,698488,455180,68702,8041,10033,650,131513,24369,65.166,9.836,1.151,1.436,0.093,18.828,3.489
36,698488,542152,65130,4767,14722,349,56226,15142,77.618,9.324,0.682,2.108,0.05,8.05,2.168
