district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,27026,1439,191,405409,557580,9191,89391,24933,4.847,0.258,0.034,72.709,1.648,16.032,4.472
02,29407,2554,154,432219,564516,10283,70243,19656,5.209,0.452,0.027,76.565,1.822,12.443,3.482
03,9939,1048,204,474416,570317,8546,58049,18115,1.743,0.184,0.036,83.185,1.498,10.178,3.176
04,14788,1002,187,468392,547704,6855,35757,20723,2.7,0.183,0.034,85.519,1.252,6.529,3.784
05,17006,1183,141,456099,558563,8552,25969,49613,3.045,0.212,0.025,81.656,1.531,4.649,8.882
06,38352,1694,193,363141,565347,13241,55323,93403,6.784,0.3,0.034,64.233,2.342,9.786,16.521
07,13890,701,160,460607,547633,7083,22517,42675,2.536,0.128,0.029,84.109,1.293,4.112,7.793
08,95405,3997,293,338794,573045,24756,60313,49487,16.649,0.698,0.051,59.122,4.32,10.525,8.636
09,67239,2603,175,344224,561654,17199,61209,69005,11.972,0.463,0.031,61.288,3.062,10.898,12.286
10,38963,1995,237,172153,554492,15333,287348,38463,7.027,0.36,0.043,31.047,2.765,51.822,6.937
11,12038,722,101,475182,564011,7587,20308,48073,2.134,0.128,0.018,84.25,1.345,3.601,8.523
12,32674,1696,272,341978,561818,12187,97044,75967,5.816,0.302,0.048,60.87,2.169,17.273,13.522
