state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
SC,47,124,939461.0,3544890.0,37.903,26.502
TN,19,99,755492.0,4850104.0,19.192,15.577
AZ,0,30,182710.0,4763003.0,0.0,3.836
GA,83,180,2097470.0,7196101.0,46.111,29.147
NJ,6,40,883471.0,6726680.0,15.0,13.134
AR,22,100,315462.0,2204443.0,22.0,14.31
NV,1,42,158545.0,2035543.0,2.381,7.789
TX,15,150,2123923.0,18279737.0,10.0,11.619
NC,32,120,1497453.0,7253848.0,26.667,20.644
VA,21,100,1151835.0,6147347.0,21.0,18.737
MS,62,122,767499.0,2211742.0,50.82,34.701
LA,42,106,1026233.0,3415357.0,39.623,30.048
AL,31,105,829140.0,3299476.0,29.524,25.129
NY,30,150,2292769.0,15053173.0,20.0,15.231
IL,20,119,1335818.0,9701453.0,16.807,13.769
NM,0,70,31019.0,1540507.0,0.0,2.014
DE,11,41,137742.0,692169.0,26.829,19.9
FL,18,120,2136430.0,14799219.0,15.0,14.436
MD,25,68,1256052.0,4420588.0,36.765,28.414
