state,total_districts,black_vap,total_vap,black_vap_pct,black_districts_25.0,black_district_25.0_pct,black_districts_30.0,black_district_30.0_pct,black_districts_35.0,black_district_35.0_pct,black_districts_40.0,black_district_40.0_pct,black_districts_45.0,black_district_45.0_pct,black_districts_50.0,black_district_50.0_pct
SC,124,939461.0,3544890.0,26.502,47,37.903,39,31.452,37,29.839,36,29.032,32,25.806,30,24.194
TN,99,755492.0,4850104.0,15.577,19,19.192,15,15.152,13,13.131,13,13.131,13,13.131,13,13.131
AZ,30,182710.0,4763003.0,3.836,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GA,180,2097470.0,7196101.0,29.147,83,46.111,69,38.333,58,32.222,52,28.889,49,27.222,47,26.111
NJ,40,883471.0,6726680.0,13.134,6,15.0,3,7.5,2,5.0,2,5.0,1,2.5,1,2.5
AR,100,315462.0,2204443.0,14.31,22,22.0,16,16.0,14,14.0,13,13.0,13,13.0,11,11.0
NV,42,158545.0,2035543.0,7.789,1,2.381,1,2.381,0,0.0,0,0.0,0,0.0,0,0.0
TX,150,2123923.0,18279737.0,11.619,15,10.0,13,8.667,13,8.667,12,8.0,4,2.667,1,0.667
NC,120,1497453.0,7253848.0,20.644,32,26.667,26,21.667,25,20.833,25,20.833,23,19.167,18,15.0
VA,100,1151835.0,6147347.0,18.737,21,21.0,16,16.0,12,12.0,12,12.0,12,12.0,12,12.0
MS,122,767499.0,2211742.0,34.701,62,50.82,51,41.803,43,35.246,43,35.246,42,34.426,42,34.426
LA,106,1026233.0,3415357.0,30.048,42,39.623,38,35.849,32,30.189,30,28.302,29,27.358,28,26.415
AL,105,829140.0,3299476.0,25.129,31,29.524,28,26.667,26,24.762,26,24.762,26,24.762,25,23.81
NY,150,2292769.0,15053173.0,15.231,30,20.0,27,18.0,23,15.333,20,13.333,17,11.333,15,10.0
IL,119,1335818.0,9701453.0,13.769,20,16.807,19,15.966,18,15.126,18,15.126,17,14.286,16,13.445
NM,70,31019.0,1540507.0,2.014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DE,41,137742.0,692169.0,19.9,11,26.829,7,17.073,6,14.634,6,14.634,5,12.195,2,4.878
FL,120,2136430.0,14799219.0,14.436,18,15.0,18,15.0,15,12.5,13,10.833,12,10.0,7,5.833
MD,68,1256052.0,4420588.0,28.414,25,36.765,21,30.882,19,27.941,16,23.529,16,23.529,15,22.059
