district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,216451,195655,2104,2304,2910,239,7876,5363,90.392,0.972,1.064,1.344,0.11,3.639,2.478
002,204615,140631,6739,4755,2501,240,42984,6765,68.73,3.294,2.324,1.222,0.117,21.007,3.306
003,204613,128858,7049,11609,5057,268,43816,7956,62.976,3.445,5.674,2.471,0.131,21.414,3.888
004,204143,126110,6768,13411,2378,293,47526,7657,61.775,3.315,6.569,1.165,0.144,23.281,3.751
005,219040,188026,2003,5699,2210,347,14534,6221,85.841,0.914,2.602,1.009,0.158,6.635,2.84
006,214244,175935,2223,14254,2502,269,12833,6228,82.119,1.038,6.653,1.168,0.126,5.99,2.907
007,203026,57032,1002,136352,810,90,3461,4279,28.091,0.494,67.16,0.399,0.044,1.705,2.108
008,208422,139486,9955,17145,3231,1314,29280,8011,66.925,4.776,8.226,1.55,0.63,14.048,3.844
009,213224,173078,6510,3066,7763,362,14770,7675,81.172,3.053,1.438,3.641,0.17,6.927,3.6
010,211073,167168,10401,2751,6327,495,15424,8507,79.199,4.928,1.303,2.998,0.235,7.307,4.03
011,213377,170587,7698,4327,5363,320,17291,7791,79.946,3.608,2.028,2.513,0.15,8.103,3.651
012,221735,182969,7192,1782,11056,426,10649,7661,82.517,3.244,0.804,4.986,0.192,4.803,3.455
013,211701,161379,8189,2577,5221,370,26275,7690,76.23,3.868,1.217,2.466,0.175,12.411,3.632
014,217693,174584,7762,2805,3857,557,19660,8468,80.197,3.566,1.289,1.772,0.256,9.031,3.89
015,214941,185339,4343,1627,10864,284,6806,5678,86.228,2.021,0.757,5.054,0.132,3.166,2.642
016,220157,188647,5185,2280,3885,420,13152,6588,85.687,2.355,1.036,1.765,0.191,5.974,2.992
017,221174,165318,9864,3003,16404,398,18358,7829,74.746,4.46,1.358,7.417,0.18,8.3,3.54
018,218677,172181,10721,3807,14210,582,9439,7737,78.738,4.903,1.741,6.498,0.266,4.316,3.538
019,207088,107509,17485,4042,5165,487,63703,8697,51.915,8.443,1.952,2.494,0.235,30.761,4.2
020,218167,170869,8977,3632,6932,421,19682,7654,78.32,4.115,1.665,3.177,0.193,9.022,3.508
021,216242,169030,9436,2231,4739,360,22996,7450,78.167,4.364,1.032,2.192,0.166,10.634,3.445
022,215912,188683,6158,1083,7256,291,6813,5628,87.389,2.852,0.502,3.361,0.135,3.155,2.607
023,213451,194463,2938,1845,6986,178,2851,4190,91.104,1.376,0.864,3.273,0.083,1.336,1.963
024,206659,133979,14080,8564,4551,420,36834,8231,64.831,6.813,4.144,2.202,0.203,17.824,3.983
025,220795,181848,6353,4408,3528,581,17468,6609,82.361,2.877,1.996,1.598,0.263,7.911,2.993
026,213659,134007,11889,12346,7481,1098,37848,8990,62.72,5.564,5.778,3.501,0.514,17.714,4.208
027,204195,91138,31643,10826,6132,531,54994,8931,44.633,15.496,5.302,3.003,0.26,26.932,4.374
028,218713,177265,6422,3636,5656,287,19422,6025,81.049,2.936,1.662,2.586,0.131,8.88,2.755
029,211067,110920,13664,3696,4535,283,68980,8989,52.552,6.474,1.751,2.149,0.134,32.682,4.259
030,207763,114427,14255,6666,7185,437,55991,8802,55.076,6.861,3.208,3.458,0.21,26.949,4.237
