district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,466514,406728,6036,10968,7714,770,15865,18433,87.185,1.294,2.351,1.654,0.165,3.401,3.951
002,463404,365699,6035,17901,12277,1195,38785,21512,78.916,1.302,3.863,2.649,0.258,8.37,4.642
003,468983,348062,8352,9609,28919,1135,48890,24016,74.216,1.781,2.049,6.166,0.242,10.425,5.121
004,466385,331339,8720,5674,34916,1223,62445,22068,71.044,1.87,1.217,7.487,0.262,13.389,4.732
005,463049,367430,9080,9480,7428,626,51297,17708,79.35,1.961,2.047,1.604,0.135,11.078,3.824
006,468939,382794,10390,3594,34546,1120,15438,21057,81.63,2.216,0.766,7.367,0.239,3.292,4.49
007,464310,251319,49650,5964,63919,4608,56503,32347,54.127,10.693,1.284,13.766,0.992,12.169,6.967
008,463773,319459,36347,4571,37900,2968,33210,29318,68.883,7.837,0.986,8.172,0.64,7.161,6.322
009,468512,210090,58593,4161,99624,6623,56773,32648,44.842,12.506,0.888,21.264,1.414,12.118,6.968
010,465830,362667,10660,4293,22454,1145,44291,20320,77.854,2.288,0.922,4.82,0.246,9.508,4.362
011,466986,263006,59717,3887,47216,3500,54255,35405,56.32,12.788,0.832,10.111,0.749,11.618,7.582
012,461766,316484,13600,4905,26875,2771,71793,25338,68.538,2.945,1.062,5.82,0.6,15.547,5.487
013,461772,199060,45476,4898,83311,2942,94176,31909,43.108,9.848,1.061,18.042,0.637,20.394,6.91
014,466848,260541,47115,3068,69839,3220,52353,30712,55.809,10.092,0.657,14.96,0.69,11.214,6.579
015,469144,225480,75142,2550,85917,1512,50047,28496,48.062,16.017,0.544,18.314,0.322,10.668,6.074
016,465945,328680,11710,1544,84104,1172,16249,22486,70.541,2.513,0.331,18.05,0.252,3.487,4.826
017,467501,230109,37826,3053,131028,2653,39847,22985,49.221,8.091,0.653,28.027,0.567,8.523,4.917
018,469665,155867,109214,3768,105927,3115,64787,26987,33.187,23.254,0.802,22.554,0.663,13.794,5.746
019,467767,193203,15481,1497,206763,1911,27535,21377,41.303,3.31,0.32,44.202,0.409,5.886,4.57
020,461362,171835,39734,3382,144451,7499,63515,30946,37.245,8.612,0.733,31.31,1.625,13.767,6.708
021,461301,270288,16751,6126,28550,1902,114573,23111,58.593,3.631,1.328,6.189,0.412,24.837,5.01
022,462734,271783,9128,2172,100174,6204,47151,26122,58.734,1.973,0.469,21.648,1.341,10.19,5.645
023,468185,296329,25577,7077,50391,955,64826,23030,63.293,5.463,1.512,10.763,0.204,13.846,4.919
024,464599,261438,13469,1894,117794,4194,44506,21304,56.272,2.899,0.408,25.354,0.903,9.579,4.585
025,461206,149624,13801,2386,227864,2690,41691,23150,32.442,2.992,0.517,49.406,0.583,9.04,5.019
026,470166,288423,7318,9419,15392,520,129485,19609,61.345,1.556,2.003,3.274,0.111,27.54,4.171
027,464103,160668,15525,5005,150911,2106,108037,21851,34.619,3.345,1.078,32.517,0.454,23.279,4.708
028,466090,274134,10750,2733,121671,1468,32251,23083,58.816,2.306,0.586,26.105,0.315,6.919,4.952
029,465870,331064,11401,3847,42709,2070,49306,25473,71.064,2.447,0.826,9.168,0.444,10.584,5.468
030,465431,244442,9371,7023,23672,1059,157523,22341,52.519,2.013,1.509,5.086,0.228,33.845,4.8
031,468265,223582,23975,8658,39075,470,153065,19440,47.747,5.12,1.849,8.345,0.1,32.688,4.151
032,466850,222116,31286,7457,15814,514,169436,20227,47.578,6.702,1.597,3.387,0.11,36.293,4.333
033,469288,293210,45262,6920,12590,2020,83559,25727,62.48,9.645,1.475,2.683,0.43,17.805,5.482
034,466780,318658,23919,6873,23308,832,71440,21750,68.267,5.124,1.472,4.993,0.178,15.305,4.66
035,467334,346218,10869,5854,17338,894,65658,20503,74.084,2.326,1.253,3.71,0.191,14.049,4.387
036,463038,260193,64929,4447,18624,1033,89516,24296,56.193,14.022,0.96,4.022,0.223,19.332,5.247
037,466200,342414,6990,5064,20056,697,70648,20331,73.448,1.499,1.086,4.302,0.15,15.154,4.361
038,469883,322981,15946,2503,57357,672,48726,21698,68.736,3.394,0.533,12.207,0.143,10.37,4.618
039,466422,245066,16467,4128,30202,536,149838,20185,52.542,3.53,0.885,6.475,0.115,32.125,4.328
040,462470,255632,51209,4570,38925,1587,85744,24803,55.275,11.073,0.988,8.417,0.343,18.54,5.363
041,462507,290584,39021,2963,55363,677,50869,23030,62.828,8.437,0.641,11.97,0.146,10.999,4.979
042,462952,343127,19190,6719,16020,1147,57306,19443,74.117,4.145,1.451,3.46,0.248,12.378,4.2
043,468406,318684,9937,1903,73352,367,42686,21477,68.036,2.121,0.406,15.66,0.078,9.113,4.585
044,462271,304399,9627,4412,35892,1081,86926,19934,65.849,2.083,0.954,7.764,0.234,18.804,4.312
045,467766,300776,20299,2209,57315,590,63168,23409,64.301,4.34,0.472,12.253,0.126,13.504,5.004
046,464441,280209,21888,2734,40821,589,96825,21375,60.333,4.713,0.589,8.789,0.127,20.848,4.602
047,470257,218518,52857,5242,21474,1520,148365,22281,46.468,11.24,1.115,4.566,0.323,31.55,4.738
048,461346,245296,13191,4640,58492,662,119455,19610,53.17,2.859,1.006,12.679,0.143,25.893,4.251
049,462545,135109,4381,2615,245198,359,60994,13889,29.21,0.947,0.565,53.011,0.078,13.187,3.003
050,470048,365453,18087,1430,44070,475,21004,19529,77.748,3.848,0.304,9.376,0.101,4.468,4.155
051,465643,211658,12128,5212,65610,402,150779,19854,45.455,2.605,1.119,14.09,0.086,32.381,4.264
052,465678,237564,29082,5087,33927,1140,137743,21135,51.015,6.245,1.092,7.286,0.245,29.579,4.539
053,463916,170577,25852,5136,84132,434,157746,20039,36.769,5.573,1.107,18.135,0.094,34.003,4.32
054,466445,193843,118144,2996,54436,664,72841,23521,41.558,25.329,0.642,11.67,0.142,15.616,5.043
055,461696,231418,12368,2398,143584,710,52213,19005,50.123,2.679,0.519,31.099,0.154,11.309,4.116
056,465302,273821,15594,6012,9214,490,142620,17551,58.848,3.351,1.292,1.98,0.105,30.651,3.772
057,465845,257645,8676,5063,52525,970,122375,18591,55.307,1.862,1.087,11.275,0.208,26.269,3.991
058,468258,229824,22403,4286,64530,1330,127200,18685,49.081,4.784,0.915,13.781,0.284,27.165,3.99
059,465168,145240,92752,4431,9461,328,193856,19100,31.223,19.939,0.953,2.034,0.071,41.674,4.106
060,470287,261835,26195,4583,38257,1757,115121,22539,55.676,5.57,0.975,8.135,0.374,24.479,4.793
061,470325,229614,60442,4379,31415,2071,117421,24983,48.82,12.851,0.931,6.679,0.44,24.966,5.312
062,466713,193189,119101,2947,27698,2534,99601,21643,41.394,25.519,0.631,5.935,0.543,21.341,4.637
063,461153,214505,35511,3714,25625,3067,158699,20032,46.515,7.7,0.805,5.557,0.665,34.414,4.344
064,466400,128253,121892,3438,31115,4781,157689,19232,27.498,26.135,0.737,6.671,1.025,33.81,4.123
065,461510,225532,14214,3661,113202,2310,81586,21005,48.868,3.08,0.793,24.529,0.501,17.678,4.551
066,467745,265544,22084,1975,112237,2115,39557,24233,56.771,4.721,0.422,23.995,0.452,8.457,5.181
067,462769,313210,23500,4267,28979,1565,66126,25122,67.682,5.078,0.922,6.262,0.338,14.289,5.429
068,463053,291822,7897,2464,85613,1118,53243,20896,63.021,1.705,0.532,18.489,0.241,11.498,4.513
