district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,21031,5362,14624,68,213,3,287,474,25.496,69.535,0.323,1.013,0.014,1.365,2.254
002,20916,4471,14356,85,112,2,1345,545,21.376,68.636,0.406,0.535,0.01,6.43,2.606
003,21368,6795,10981,155,190,4,2500,743,31.8,51.39,0.725,0.889,0.019,11.7,3.477
004,21075,17543,2251,42,523,1,324,391,83.241,10.681,0.199,2.482,0.005,1.537,1.855
005,21652,8271,10389,54,1211,16,901,810,38.2,47.982,0.249,5.593,0.074,4.161,3.741
006,21894,17893,2697,47,716,2,166,373,81.726,12.318,0.215,3.27,0.009,0.758,1.704
007,20971,16180,3236,38,907,16,276,318,77.154,15.431,0.181,4.325,0.076,1.316,1.516
008,22759,15422,5484,37,677,14,483,642,67.762,24.096,0.163,2.975,0.062,2.122,2.821
009,21263,16428,3977,50,322,5,106,375,77.261,18.704,0.235,1.514,0.024,0.499,1.764
010,21670,15538,3504,73,1769,5,318,463,71.703,16.17,0.337,8.163,0.023,1.467,2.137
011,20915,18008,2009,136,175,13,234,340,86.101,9.606,0.65,0.837,0.062,1.119,1.626
012,22964,20444,564,37,1454,10,110,345,89.026,2.456,0.161,6.332,0.044,0.479,1.502
013,22933,17339,2246,90,320,7,2344,587,75.607,9.794,0.392,1.395,0.031,10.221,2.56
014,21224,19302,899,63,322,5,325,308,90.944,4.236,0.297,1.517,0.024,1.531,1.451
015,22758,14900,5690,54,1042,1,409,662,65.471,25.002,0.237,4.579,0.004,1.797,2.909
016,21218,8534,10703,81,191,8,1137,564,40.221,50.443,0.382,0.9,0.038,5.359,2.658
017,22445,13057,6581,89,616,1,1453,648,58.173,29.321,0.397,2.744,0.004,6.474,2.887
018,22864,12808,6272,84,1966,15,939,780,56.018,27.432,0.367,8.599,0.066,4.107,3.411
019,22764,17900,2134,85,325,6,1771,543,78.633,9.374,0.373,1.428,0.026,7.78,2.385
020,21216,18063,1896,184,197,12,448,416,85.139,8.937,0.867,0.929,0.057,2.112,1.961
021,22794,18680,1633,56,1466,8,419,532,81.951,7.164,0.246,6.432,0.035,1.838,2.334
022,22916,19635,796,22,1979,0,149,335,85.682,3.474,0.096,8.636,0.0,0.65,1.462
023,22744,19044,1431,40,1503,9,245,472,83.732,6.292,0.176,6.608,0.04,1.077,2.075
024,22687,15404,4206,83,781,5,1427,781,67.898,18.539,0.366,3.443,0.022,6.29,3.443
025,21763,16922,2216,29,1726,1,297,572,77.756,10.182,0.133,7.931,0.005,1.365,2.628
026,22656,12300,6375,80,1671,7,1311,912,54.29,28.138,0.353,7.376,0.031,5.787,4.025
027,21943,15181,4276,66,1506,10,316,588,69.184,19.487,0.301,6.863,0.046,1.44,2.68
028,21111,13642,5753,105,331,12,530,738,64.62,27.251,0.497,1.568,0.057,2.511,3.496
029,20818,14564,4414,307,541,7,297,688,69.959,21.203,1.475,2.599,0.034,1.427,3.305
030,20856,17061,2715,90,176,7,222,585,81.804,13.018,0.432,0.844,0.034,1.064,2.805
031,22893,11398,9525,137,663,10,306,854,49.788,41.607,0.598,2.896,0.044,1.337,3.73
032,21450,11677,7183,96,529,26,818,1121,54.438,33.487,0.448,2.466,0.121,3.814,5.226
033,21462,15698,4006,116,264,8,669,701,73.143,18.666,0.54,1.23,0.037,3.117,3.266
034,21236,14855,4472,85,741,11,241,831,69.952,21.059,0.4,3.489,0.052,1.135,3.913
035,20887,14690,4466,115,100,13,916,587,70.331,21.382,0.551,0.479,0.062,4.386,2.81
036,20870,15780,3109,107,169,23,1219,463,75.611,14.897,0.513,0.81,0.11,5.841,2.218
037,22891,16692,2239,564,169,22,2499,706,72.919,9.781,2.464,0.738,0.096,10.917,3.084
038,22043,20940,450,48,142,1,201,261,94.996,2.041,0.218,0.644,0.005,0.912,1.184
039,22423,15814,4624,134,324,25,881,621,70.526,20.622,0.598,1.445,0.111,3.929,2.769
040,22598,17859,3278,131,209,37,472,612,79.029,14.506,0.58,0.925,0.164,2.089,2.708
041,22993,16523,4154,218,311,12,1208,567,71.861,18.066,0.948,1.353,0.052,5.254,2.466
