district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,61462,58437,1238,180,287,10,464,846,95.078,2.014,0.293,0.467,0.016,0.755,1.376
002,61238,57610,1725,156,495,11,386,855,94.076,2.817,0.255,0.808,0.018,0.63,1.396
003,63727,61807,818,138,157,18,215,574,96.987,1.284,0.217,0.246,0.028,0.337,0.901
004,64377,61786,722,137,191,10,765,766,95.975,1.122,0.213,0.297,0.016,1.188,1.19
005,61081,57791,1337,154,240,21,786,752,94.614,2.189,0.252,0.393,0.034,1.287,1.231
006,61861,57023,2259,165,776,17,654,967,92.179,3.652,0.267,1.254,0.027,1.057,1.563
007,61118,55596,2555,212,690,21,880,1164,90.965,4.18,0.347,1.129,0.034,1.44,1.905
008,61201,57999,1174,246,295,6,612,869,94.768,1.918,0.402,0.482,0.01,1.0,1.42
009,63652,61499,764,138,285,11,249,706,96.618,1.2,0.217,0.448,0.017,0.391,1.109
010,62544,54163,2527,209,466,71,3863,1245,86.6,4.04,0.334,0.745,0.114,6.176,1.991
011,61827,58686,1170,202,217,32,573,947,94.92,1.892,0.327,0.351,0.052,0.927,1.532
012,61285,56805,518,228,641,14,2244,835,92.69,0.845,0.372,1.046,0.023,3.662,1.362
013,62200,50700,6966,270,916,104,1726,1518,81.511,11.199,0.434,1.473,0.167,2.775,2.441
014,61673,56009,1419,139,2783,15,388,920,90.816,2.301,0.225,4.513,0.024,0.629,1.492
015,61164,39858,18027,204,730,80,710,1555,65.166,29.473,0.334,1.194,0.131,1.161,2.542
016,61472,57599,1500,165,511,36,792,869,93.7,2.44,0.268,0.831,0.059,1.288,1.414
017,61596,58775,776,230,250,11,759,795,95.42,1.26,0.373,0.406,0.018,1.232,1.291
018,61774,52590,4141,194,1774,89,1534,1452,85.133,6.703,0.314,2.872,0.144,2.483,2.351
019,61823,58240,2057,120,271,9,353,773,94.204,3.327,0.194,0.438,0.015,0.571,1.25
020,61809,56994,2206,183,580,26,763,1057,92.21,3.569,0.296,0.938,0.042,1.234,1.71
021,65248,60507,1307,225,327,37,1968,877,92.734,2.003,0.345,0.501,0.057,3.016,1.344
022,64839,62439,758,236,156,20,419,811,96.299,1.169,0.364,0.241,0.031,0.646,1.251
023,67110,62330,2116,265,409,18,690,1282,92.877,3.153,0.395,0.609,0.027,1.028,1.91
024,62702,54685,3627,222,723,41,2087,1317,87.214,5.785,0.354,1.153,0.065,3.328,2.1
025,67219,64700,203,221,267,54,1099,675,96.253,0.302,0.329,0.397,0.08,1.635,1.004
026,67291,60316,4070,154,1166,23,659,903,89.635,6.048,0.229,1.733,0.034,0.979,1.342
027,67290,61176,3033,178,910,33,970,990,90.914,4.507,0.265,1.352,0.049,1.442,1.471
028,67292,20331,43043,311,403,111,1795,1298,30.213,63.965,0.462,0.599,0.165,2.667,1.929
029,67293,53981,9096,210,1472,36,1380,1118,80.218,13.517,0.312,2.187,0.053,2.051,1.661
030,67297,52912,8658,312,1961,93,1993,1368,78.625,12.865,0.464,2.914,0.138,2.961,2.033
031,64828,61040,1213,286,206,23,1129,931,94.157,1.871,0.441,0.318,0.035,1.742,1.436
032,61133,57520,1436,187,350,35,663,942,94.09,2.349,0.306,0.573,0.057,1.085,1.541
033,66312,60376,2827,221,792,16,684,1396,91.048,4.263,0.333,1.194,0.024,1.031,2.105
034,66164,54025,7257,214,1980,24,1124,1540,81.653,10.968,0.323,2.993,0.036,1.699,2.328
035,61069,59294,392,155,192,8,358,670,97.093,0.642,0.254,0.314,0.013,0.586,1.097
036,62443,61053,164,169,131,34,223,669,97.774,0.263,0.271,0.21,0.054,0.357,1.071
037,65360,50614,7803,340,1760,31,3223,1589,77.439,11.938,0.52,2.693,0.047,4.931,2.431
038,65766,63994,242,192,119,5,590,624,97.306,0.368,0.292,0.181,0.008,0.897,0.949
039,61565,57130,2326,213,363,24,594,915,92.796,3.778,0.346,0.59,0.039,0.965,1.486
040,65890,60140,3089,211,356,27,1103,964,91.273,4.688,0.32,0.54,0.041,1.674,1.463
041,65315,63147,935,209,113,12,178,721,96.681,1.432,0.32,0.173,0.018,0.273,1.104
042,66703,61543,1436,284,825,29,1534,1052,92.264,2.153,0.426,1.237,0.043,2.3,1.577
043,66884,62209,1378,215,200,29,1873,980,93.01,2.06,0.321,0.299,0.043,2.8,1.465
044,67137,58661,5170,186,430,49,1538,1103,87.375,7.701,0.277,0.64,0.073,2.291,1.643
045,67251,60818,3402,214,940,43,721,1113,90.434,5.059,0.318,1.398,0.064,1.072,1.655
046,66805,59420,4122,176,441,24,1564,1058,88.945,6.17,0.263,0.66,0.036,2.341,1.584
047,65295,60135,2105,207,535,27,1137,1149,92.097,3.224,0.317,0.819,0.041,1.741,1.76
048,66257,52356,8449,180,2061,44,1678,1489,79.02,12.752,0.272,3.111,0.066,2.533,2.247
049,64823,48422,9377,220,2183,43,2902,1676,74.699,14.466,0.339,3.368,0.066,4.477,2.586
050,61147,51467,5471,164,1964,37,940,1104,84.169,8.947,0.268,3.212,0.061,1.537,1.805
051,65623,41655,18470,286,758,62,2729,1663,63.476,28.146,0.436,1.155,0.094,4.159,2.534
052,63738,34103,19239,282,2005,71,5889,2149,53.505,30.185,0.442,3.146,0.111,9.239,3.372
053,61225,39073,10514,270,3553,23,5638,2154,63.819,17.173,0.441,5.803,0.038,9.209,3.518
054,62106,19006,39715,155,548,38,1444,1200,30.603,63.947,0.25,0.882,0.061,2.325,1.932
