district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,280,4630,204,10856,2,156,16174,46,1.731,28.626,1.261,67.12,0.012,0.965,0.284
002,276,3869,850,10121,2,99,15270,53,1.807,25.337,5.566,66.28,0.013,0.648,0.347
003,378,5496,1647,7563,2,159,15343,98,2.464,35.821,10.735,49.293,0.013,1.036,0.639
004,214,14792,223,1733,1,426,17420,31,1.228,84.914,1.28,9.948,0.006,2.445,0.178
005,376,6621,586,7212,14,893,15739,37,2.389,42.067,3.723,45.822,0.089,5.674,0.235
006,162,14445,114,1866,1,544,17166,34,0.944,84.149,0.664,10.87,0.006,3.169,0.198
007,154,13294,180,2366,9,684,16716,29,0.921,79.529,1.077,14.154,0.054,4.092,0.173
008,251,11115,300,3633,8,454,15787,26,1.59,70.406,1.9,23.013,0.051,2.876,0.165
009,165,12308,70,3244,2,225,16049,35,1.028,76.69,0.436,20.213,0.012,1.402,0.218
010,231,12512,205,2458,3,1376,16834,49,1.372,74.326,1.218,14.601,0.018,8.174,0.291
011,164,13482,144,1420,9,114,15441,108,1.062,87.313,0.933,9.196,0.058,0.738,0.699
012,139,16067,79,444,4,1108,17868,27,0.778,89.921,0.442,2.485,0.022,6.201,0.151
013,269,13971,1456,1561,4,245,17565,59,1.531,79.539,8.289,8.887,0.023,1.395,0.336
014,151,17096,247,621,4,237,18404,48,0.82,92.893,1.342,3.374,0.022,1.288,0.261
015,301,11755,278,4072,0,749,17195,40,1.751,68.363,1.617,23.681,0.0,4.356,0.233
016,274,7023,702,7848,8,150,16058,53,1.706,43.735,4.372,48.873,0.05,0.934,0.33
017,299,10505,969,4852,1,481,17171,64,1.741,61.179,5.643,28.257,0.006,2.801,0.373
018,381,10439,612,4617,9,1563,17681,60,2.155,59.041,3.461,26.113,0.051,8.84,0.339
019,248,14714,1119,1589,2,256,17994,66,1.378,81.772,6.219,8.831,0.011,1.423,0.367
020,185,15274,284,1451,8,147,17493,144,1.058,87.315,1.624,8.295,0.046,0.84,0.823
021,275,15078,297,1211,6,1055,17959,37,1.531,83.958,1.654,6.743,0.033,5.874,0.206
022,153,15249,100,619,0,1469,17608,18,0.869,86.603,0.568,3.515,0.0,8.343,0.102
023,333,16499,188,1176,6,1333,19567,32,1.702,84.321,0.961,6.01,0.031,6.812,0.164
024,345,12374,877,2984,5,614,17259,60,1.999,71.696,5.081,17.29,0.029,3.558,0.348
025,357,14948,228,1664,1,1454,18678,26,1.911,80.03,1.221,8.909,0.005,7.785,0.139
026,415,9500,839,4320,5,1216,16346,51,2.539,58.118,5.133,26.428,0.031,7.439,0.312
027,252,11329,207,3075,7,999,15918,49,1.583,71.171,1.3,19.318,0.044,6.276,0.308
028,298,10711,329,3968,5,256,15652,85,1.904,68.432,2.102,25.351,0.032,1.636,0.543
029,278,10914,197,3055,5,399,15110,262,1.84,72.23,1.304,20.218,0.033,2.641,1.734
030,266,13260,153,1912,6,148,15812,67,1.682,83.86,0.968,12.092,0.038,0.936,0.424
031,458,9711,233,7469,6,540,18522,105,2.473,52.43,1.258,40.325,0.032,2.915,0.567
032,455,8950,545,4832,18,428,15300,72,2.974,58.497,3.562,31.582,0.118,2.797,0.471
033,293,12332,415,2844,8,203,16185,90,1.81,76.194,2.564,17.572,0.049,1.254,0.556
034,379,11578,162,3196,11,555,15944,63,2.377,72.617,1.016,20.045,0.069,3.481,0.395
035,250,11634,545,3160,8,74,15751,80,1.587,73.862,3.46,20.062,0.051,0.47,0.508
036,216,12488,731,2150,16,123,15808,84,1.366,78.998,4.624,13.601,0.101,0.778,0.531
037,330,14141,1598,1645,18,121,18254,401,1.808,77.468,8.754,9.012,0.099,0.663,2.197
038,155,18432,129,374,1,112,19239,36,0.806,95.805,0.671,1.944,0.005,0.582,0.187
039,211,12669,545,3110,19,247,16903,102,1.248,74.951,3.224,18.399,0.112,1.461,0.603
040,246,13899,259,2169,31,163,16845,78,1.46,82.511,1.538,12.876,0.184,0.968,0.463
041,251,13431,754,3282,6,237,18141,180,1.384,74.037,4.156,18.092,0.033,1.306,0.992
