district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,2522,89425,1265,23754,156,3331,121724,1271,2.072,73.465,1.039,19.515,0.128,2.737,1.044
002,2679,89848,1495,24200,212,3597,122970,939,2.179,73.065,1.216,19.68,0.172,2.925,0.764
003,2400,106919,968,6862,177,2237,120717,1154,1.988,88.57,0.802,5.684,0.147,1.853,0.956
004,3192,101359,2379,11449,239,4346,123651,687,2.581,81.972,1.924,9.259,0.193,3.515,0.556
005,1856,103608,1464,16986,113,808,125985,1150,1.473,82.238,1.162,13.483,0.09,0.641,0.913
006,2591,104108,1390,12891,128,2687,124614,819,2.079,83.544,1.115,10.345,0.103,2.156,0.657
007,1457,93484,1467,26585,53,502,124335,787,1.172,75.187,1.18,21.382,0.043,0.404,0.633
008,2140,55695,3076,61632,65,2340,125293,345,1.708,44.452,2.455,49.19,0.052,1.868,0.275
009,1795,97798,964,19073,61,4112,124130,327,1.446,78.787,0.777,15.365,0.049,3.313,0.263
010,1423,96133,1767,19808,50,880,120635,574,1.18,79.689,1.465,16.42,0.041,0.729,0.476
011,1826,108008,1426,9286,121,2379,123593,547,1.477,87.39,1.154,7.513,0.098,1.925,0.443
012,2937,88557,3412,16873,128,8719,121055,429,2.426,73.154,2.819,13.938,0.106,7.203,0.354
013,1963,52810,2098,59489,105,2387,119339,487,1.645,44.252,1.758,49.849,0.088,2.0,0.408
014,1816,51379,1517,57320,78,2162,114782,510,1.582,44.762,1.322,49.938,0.068,1.884,0.444
015,2419,80147,2659,25870,133,4881,116646,537,2.074,68.71,2.28,22.178,0.114,4.184,0.46
016,2260,96727,2175,13405,84,7655,122729,423,1.841,78.813,1.772,10.922,0.068,6.237,0.345
017,1396,108610,900,6116,102,2579,120029,326,1.163,90.486,0.75,5.095,0.085,2.149,0.272
018,2259,92468,2114,11255,143,4002,112715,474,2.004,82.037,1.876,9.985,0.127,3.551,0.421
019,1317,98591,2225,17465,70,740,120969,561,1.089,81.501,1.839,14.438,0.058,0.612,0.464
020,2384,77959,2410,38759,65,5274,127291,440,1.873,61.245,1.893,30.449,0.051,4.143,0.346
021,2234,107495,1869,10603,60,6287,128894,346,1.733,83.398,1.45,8.226,0.047,4.878,0.268
022,1961,107484,3500,10315,62,1933,125768,513,1.559,85.462,2.783,8.202,0.049,1.537,0.408
023,1727,106092,2404,9480,48,1364,121630,515,1.42,87.225,1.976,7.794,0.039,1.121,0.423
024,1515,110851,2694,9881,67,2093,127516,415,1.188,86.931,2.113,7.749,0.053,1.641,0.325
025,1347,122241,878,3728,43,2158,130766,371,1.03,93.481,0.671,2.851,0.033,1.65,0.284
026,1788,92476,2484,25565,57,2135,124948,443,1.431,74.012,1.988,20.461,0.046,1.709,0.355
027,2260,103604,4728,8245,55,1503,120909,514,1.869,85.688,3.91,6.819,0.045,1.243,0.425
028,2339,98728,3373,12069,71,3992,120940,368,1.934,81.634,2.789,9.979,0.059,3.301,0.304
029,2323,96190,3707,13534,58,5049,121258,397,1.916,79.327,3.057,11.161,0.048,4.164,0.327
030,2865,95454,5312,15032,81,4104,123293,445,2.324,77.42,4.308,12.192,0.066,3.329,0.361
031,1837,103575,4197,11396,48,2049,123715,613,1.485,83.721,3.392,9.211,0.039,1.656,0.495
032,2294,97240,5123,12720,102,2698,120674,497,1.901,80.581,4.245,10.541,0.085,2.236,0.412
033,1118,125911,1597,9598,58,1048,139794,464,0.8,90.069,1.142,6.866,0.041,0.75,0.332
034,1331,124114,878,3177,32,1696,131684,456,1.011,94.251,0.667,2.413,0.024,1.288,0.346
035,1628,114245,2145,5990,54,1288,125778,428,1.294,90.831,1.705,4.762,0.043,1.024,0.34
036,1839,116512,2340,2653,58,1790,125696,504,1.463,92.693,1.862,2.111,0.046,1.424,0.401
037,1588,110845,1632,3461,50,2528,120471,367,1.318,92.01,1.355,2.873,0.042,2.098,0.305
038,1864,102315,4084,8238,80,2966,119957,410,1.554,85.293,3.405,6.867,0.067,2.473,0.342
039,1930,101467,4288,8808,69,2093,119224,569,1.619,85.106,3.597,7.388,0.058,1.756,0.477
040,1965,92155,3878,18315,73,2406,119242,450,1.648,77.284,3.252,15.36,0.061,2.018,0.377
041,1834,90791,6963,18086,68,2013,120257,502,1.525,75.497,5.79,15.039,0.057,1.674,0.417
042,2645,91587,6731,12402,77,1901,115872,529,2.283,79.042,5.809,10.703,0.066,1.641,0.457
043,4608,76653,14140,16157,138,3664,116050,690,3.971,66.052,12.184,13.922,0.119,3.157,0.595
044,2959,89737,4431,10148,194,12205,120020,346,2.465,74.768,3.692,8.455,0.162,10.169,0.288
045,2997,53364,7060,44347,101,4089,112443,485,2.665,47.459,6.279,39.44,0.09,3.637,0.431
046,3654,41383,8315,59093,151,3888,116996,512,3.123,35.371,7.107,50.509,0.129,3.323,0.438
047,2715,109928,4677,8553,79,3840,130207,415,2.085,84.426,3.592,6.569,0.061,2.949,0.319
048,4197,77319,14454,13838,171,5993,116536,564,3.601,66.348,12.403,11.874,0.147,5.143,0.484
049,3455,95881,8068,12921,139,7324,128296,508,2.693,74.734,6.289,10.071,0.108,5.709,0.396
050,2723,95939,4311,11797,123,5360,120736,483,2.255,79.462,3.571,9.771,0.102,4.439,0.4
051,1931,109347,1636,12576,197,2180,128426,559,1.504,85.144,1.274,9.792,0.153,1.697,0.435
052,2120,116013,1547,5592,86,3408,129159,393,1.641,89.822,1.198,4.33,0.067,2.639,0.304
053,2636,100959,2826,15993,66,2929,125864,455,2.094,80.213,2.245,12.707,0.052,2.327,0.362
054,1340,109529,3486,10720,39,1474,126929,341,1.056,86.292,2.746,8.446,0.031,1.161,0.269
055,1692,103194,7483,10243,60,1414,125035,949,1.353,82.532,5.985,8.192,0.048,1.131,0.759
056,1779,86494,11539,13392,45,1318,115066,499,1.546,75.169,10.028,11.639,0.039,1.145,0.434
057,2060,94420,4825,10499,117,2907,115199,371,1.788,81.963,4.188,9.114,0.102,2.523,0.322
058,2424,90135,7577,14437,72,3333,118578,600,2.044,76.013,6.39,12.175,0.061,2.811,0.506
059,2921,91210,4909,15847,99,4108,119584,490,2.443,76.273,4.105,13.252,0.083,3.435,0.41
060,2633,108688,3400,8238,116,4427,127954,452,2.058,84.943,2.657,6.438,0.091,3.46,0.353
061,2925,48128,5010,57954,85,1448,116073,523,2.52,41.464,4.316,49.929,0.073,1.247,0.451
062,3712,92434,8104,14322,78,4227,123359,482,3.009,74.931,6.569,11.61,0.063,3.427,0.391
063,3081,92211,4662,16481,78,7508,124434,413,2.476,74.104,3.747,13.245,0.063,6.034,0.332
064,2143,104931,2292,6084,67,5494,121282,271,1.767,86.518,1.89,5.016,0.055,4.53,0.223
065,1507,121935,1250,3300,76,2345,130737,324,1.153,93.267,0.956,2.524,0.058,1.794,0.248
066,1577,118366,1488,7278,116,2481,131711,405,1.197,89.868,1.13,5.526,0.088,1.884,0.307
067,2052,110505,4547,8943,148,3726,130413,492,1.573,84.735,3.487,6.857,0.113,2.857,0.377
068,2185,112681,2140,7085,92,5940,130529,406,1.674,86.326,1.639,5.428,0.07,4.551,0.311
069,1753,119838,1911,4904,110,4748,133724,460,1.311,89.616,1.429,3.667,0.082,3.551,0.344
070,2144,53356,6788,50558,73,1091,114432,422,1.874,46.627,5.932,44.182,0.064,0.953,0.369
071,1551,119667,4358,5238,65,1528,132794,387,1.168,90.115,3.282,3.944,0.049,1.151,0.291
