district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,1822,35895,25173,9098,18,1017,73590,567,2.476,48.777,34.207,12.363,0.024,1.382,0.77
002,2041,34712,21589,2557,30,18763,80342,650,2.54,43.205,26.871,3.183,0.037,23.354,0.809
003,2567,45671,23659,4104,61,2121,78863,680,3.255,57.912,30.0,5.204,0.077,2.689,0.862
004,2795,49198,21046,7517,70,2202,83439,611,3.35,58.963,25.223,9.009,0.084,2.639,0.732
005,1563,33141,999,46535,22,6761,89191,170,1.752,37.157,1.12,52.175,0.025,7.58,0.191
006,1431,26981,6467,41148,14,5028,81407,338,1.758,33.143,7.944,50.546,0.017,6.176,0.415
007,1212,37638,4236,37591,17,2329,83210,187,1.457,45.233,5.091,45.176,0.02,2.799,0.225
008,1043,28568,3997,43992,13,1407,79218,198,1.317,36.063,5.046,55.533,0.016,1.776,0.25
009,1598,29838,2655,42212,42,7711,84287,231,1.896,35.4,3.15,50.081,0.05,9.149,0.274
010,1395,32272,4680,42414,52,1899,82961,249,1.682,38.9,5.641,51.125,0.063,2.289,0.3
011,1687,79183,3222,2826,31,4794,91963,220,1.834,86.103,3.504,3.073,0.034,5.213,0.239
012,1866,85790,1783,4961,56,6508,101152,188,1.845,84.813,1.763,4.905,0.055,6.434,0.186
013,2567,57647,6747,10515,39,12375,90347,457,2.841,63.806,7.468,11.638,0.043,13.697,0.506
014,2973,53109,6420,19834,59,8518,91408,495,3.252,58.101,7.023,21.698,0.065,9.319,0.542
015,2134,60473,4261,1709,40,17580,86387,190,2.47,70.002,4.932,1.978,0.046,20.35,0.22
016,2510,48548,4688,5643,14,21027,82650,220,3.037,58.739,5.672,6.828,0.017,25.441,0.266
017,1164,63260,1339,3096,19,13308,82275,89,1.415,76.888,1.627,3.763,0.023,16.175,0.108
018,1589,64367,1641,8752,26,7300,83818,143,1.896,76.794,1.958,10.442,0.031,8.709,0.171
019,1579,72937,5778,882,41,5307,86804,280,1.819,84.025,6.656,1.016,0.047,6.114,0.323
020,1305,74272,2781,1084,13,6767,86400,178,1.51,85.963,3.219,1.255,0.015,7.832,0.206
021,1893,42602,21896,9800,23,1418,78226,594,2.42,54.46,27.991,12.528,0.029,1.813,0.759
022,1958,50993,20617,2126,29,758,76951,470,2.544,66.267,26.792,2.763,0.038,0.985,0.611
023,1767,54569,15806,3304,30,1284,77150,390,2.29,70.731,20.487,4.283,0.039,1.664,0.506
024,2101,45402,24479,2184,30,929,75796,671,2.772,59.9,32.296,2.881,0.04,1.226,0.885
025,2076,27059,8341,42707,11,3992,84572,386,2.455,31.995,9.863,50.498,0.013,4.72,0.456
026,1581,30017,1887,47543,29,6658,87902,187,1.799,34.148,2.147,54.086,0.033,7.574,0.213
027,955,30281,2602,47942,26,734,82731,191,1.154,36.602,3.145,57.949,0.031,0.887,0.231
028,936,33141,2892,42721,10,996,80865,169,1.157,40.983,3.576,52.83,0.012,1.232,0.209
029,985,26936,1823,49531,13,514,79958,156,1.232,33.688,2.28,61.946,0.016,0.643,0.195
030,1250,29863,5165,40301,27,900,77707,201,1.609,38.43,6.647,51.863,0.035,1.158,0.259
031,928,33903,2012,44070,11,753,81841,164,1.134,41.425,2.458,53.848,0.013,0.92,0.2
032,1121,29699,5480,40932,15,835,78304,222,1.432,37.928,6.998,52.273,0.019,1.066,0.284
033,1244,24472,4149,50116,17,356,80663,309,1.542,30.339,5.144,62.13,0.021,0.441,0.383
034,999,30525,2346,47876,16,244,82216,210,1.215,37.128,2.853,58.232,0.019,0.297,0.255
035,937,64906,1452,13631,14,2036,83111,135,1.127,78.096,1.747,16.401,0.017,2.45,0.162
036,1069,69343,2638,10420,29,1653,85330,178,1.253,81.265,3.092,12.211,0.034,1.937,0.209
037,581,74238,840,1040,15,2007,78829,108,0.737,94.176,1.066,1.319,0.019,2.546,0.137
038,1032,35646,1236,41285,21,1479,80840,141,1.277,44.095,1.529,51.07,0.026,1.83,0.174
039,2649,52199,21070,3161,55,2708,82486,644,3.211,63.282,25.544,3.832,0.067,3.283,0.781
040,3466,49168,18616,3380,50,7198,82546,668,4.199,59.564,22.552,4.095,0.061,8.72,0.809
041,1006,64364,1372,3043,18,8625,78560,132,1.281,81.93,1.746,3.873,0.023,10.979,0.168
042,947,69182,2377,2851,13,6171,81699,158,1.159,84.679,2.909,3.49,0.016,7.553,0.193
043,2093,48885,14761,5421,30,2866,74982,926,2.791,65.196,19.686,7.23,0.04,3.822,1.235
044,1695,53019,7175,3767,29,14613,80728,430,2.1,65.676,8.888,4.666,0.036,18.102,0.533
045,1074,69073,2212,1750,20,9102,83389,158,1.288,82.832,2.653,2.099,0.024,10.915,0.189
046,1665,56757,6926,4584,35,11689,81944,288,2.032,69.263,8.452,5.594,0.043,14.265,0.351
