district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,311,24530,186,6735,25,101,32067,179,0.97,76.496,0.58,21.003,0.078,0.315,0.558
002,405,10131,857,21237,18,247,33028,133,1.226,30.674,2.595,64.3,0.054,0.748,0.403
003,252,3526,153,25415,3,67,29517,101,0.854,11.946,0.518,86.103,0.01,0.227,0.342
004,313,9459,187,21334,13,204,31600,90,0.991,29.934,0.592,67.513,0.041,0.646,0.285
005,386,22704,280,7188,23,878,31616,157,1.221,71.812,0.886,22.735,0.073,2.777,0.497
006,443,28419,346,3998,48,746,34150,150,1.297,83.218,1.013,11.707,0.141,2.184,0.439
007,374,25863,296,7042,10,171,34237,481,1.092,75.541,0.865,20.568,0.029,0.499,1.405
008,451,25041,687,6245,39,672,33335,200,1.353,75.119,2.061,18.734,0.117,2.016,0.6
009,490,25952,496,5300,42,491,32960,189,1.487,78.738,1.505,16.08,0.127,1.49,0.573
010,258,22387,103,10254,10,102,33241,127,0.776,67.348,0.31,30.847,0.03,0.307,0.382
011,283,14134,280,20671,25,413,35918,112,0.788,39.351,0.78,57.551,0.07,1.15,0.312
012,234,26792,540,7088,17,337,35100,92,0.667,76.33,1.538,20.194,0.048,0.96,0.262
013,297,23524,140,9901,4,67,34080,147,0.871,69.026,0.411,29.052,0.012,0.197,0.431
014,214,27502,135,5762,16,459,34148,60,0.627,80.538,0.395,16.874,0.047,1.344,0.176
015,218,29981,200,1340,12,238,32090,101,0.679,93.428,0.623,4.176,0.037,0.742,0.315
016,329,12375,140,18162,15,355,31439,63,1.046,39.362,0.445,57.769,0.048,1.129,0.2
017,235,9646,244,20413,2,115,30740,85,0.764,31.379,0.794,66.405,0.007,0.374,0.277
018,263,19026,163,13205,5,69,32763,32,0.803,58.072,0.498,40.305,0.015,0.211,0.098
019,201,23496,184,9469,5,123,33578,100,0.599,69.974,0.548,28.2,0.015,0.366,0.298
020,199,25770,78,8093,3,61,34305,101,0.58,75.12,0.227,23.591,0.009,0.178,0.294
021,185,13465,96,16527,4,49,30411,85,0.608,44.277,0.316,54.345,0.013,0.161,0.28
022,347,27878,163,5359,10,85,34116,274,1.017,81.715,0.478,15.708,0.029,0.249,0.803
023,477,13810,243,17114,13,124,32048,267,1.488,43.092,0.758,53.401,0.041,0.387,0.833
024,687,28002,212,3370,24,193,34005,1517,2.02,82.347,0.623,9.91,0.071,0.568,4.461
025,426,25772,537,5824,10,535,33502,398,1.272,76.927,1.603,17.384,0.03,1.597,1.188
026,380,9785,192,19699,4,402,30607,145,1.242,31.97,0.627,64.361,0.013,1.313,0.474
027,356,29022,144,3471,14,241,33490,242,1.063,86.659,0.43,10.364,0.042,0.72,0.723
028,354,21850,111,9029,3,108,31790,335,1.114,68.732,0.349,28.402,0.009,0.34,1.054
029,183,6508,137,22510,0,79,29461,44,0.621,22.09,0.465,76.406,0.0,0.268,0.149
030,874,22398,787,7006,173,770,32343,335,2.702,69.251,2.433,21.662,0.535,2.381,1.036
031,293,26578,309,2705,4,630,30602,83,0.957,86.851,1.01,8.839,0.013,2.059,0.271
032,413,27066,133,5531,5,167,33883,568,1.219,79.881,0.393,16.324,0.015,0.493,1.676
033,366,30066,189,2219,19,182,33198,157,1.102,90.566,0.569,6.684,0.057,0.548,0.473
034,542,9748,431,22425,3,169,33472,154,1.619,29.123,1.288,66.996,0.009,0.505,0.46
035,360,28645,197,3515,5,173,33057,162,1.089,86.653,0.596,10.633,0.015,0.523,0.49
036,424,28733,315,3607,25,1013,34259,142,1.238,83.87,0.919,10.529,0.073,2.957,0.414
037,347,26171,182,5089,5,81,32039,164,1.083,81.685,0.568,15.884,0.016,0.253,0.512
038,204,22319,121,8230,2,86,31041,79,0.657,71.902,0.39,26.513,0.006,0.277,0.255
039,338,23697,396,7893,7,192,32637,114,1.036,72.608,1.213,24.184,0.021,0.588,0.349
040,291,12341,238,16401,3,116,29497,107,0.987,41.838,0.807,55.602,0.01,0.393,0.363
041,241,25022,481,5583,2,110,31522,83,0.765,79.379,1.526,17.711,0.006,0.349,0.263
042,235,23466,157,6090,1,64,30094,81,0.781,77.976,0.522,20.237,0.003,0.213,0.269
043,372,27421,312,3052,16,607,31900,120,1.166,85.959,0.978,9.567,0.05,1.903,0.376
044,435,12076,271,18621,14,281,31789,91,1.368,37.988,0.852,58.577,0.044,0.884,0.286
045,445,28348,829,4639,13,794,35193,125,1.264,80.55,2.356,13.182,0.037,2.256,0.355
046,244,23641,249,5823,2,183,30263,121,0.806,78.118,0.823,19.241,0.007,0.605,0.4
047,286,28006,267,4299,3,566,33526,99,0.853,83.535,0.796,12.823,0.009,1.688,0.295
048,275,25358,295,4789,7,781,31608,103,0.87,80.227,0.933,15.151,0.022,2.471,0.326
049,276,23017,488,5537,5,461,29944,160,0.922,76.867,1.63,18.491,0.017,1.54,0.534
050,386,20550,399,11469,9,250,33659,596,1.147,61.054,1.185,34.074,0.027,0.743,1.771
051,490,22626,906,6753,22,687,33383,1899,1.468,67.777,2.714,20.229,0.066,2.058,5.689
052,359,26936,755,4088,26,396,33662,1102,1.066,80.019,2.243,12.144,0.077,1.176,3.274
053,451,24660,701,5704,14,316,33458,1612,1.348,73.704,2.095,17.048,0.042,0.944,4.818
054,505,30087,1034,941,19,259,34071,1226,1.482,88.307,3.035,2.762,0.056,0.76,3.598
055,249,25895,282,7548,9,251,34460,226,0.723,75.145,0.818,21.904,0.026,0.728,0.656
056,351,25599,436,6419,10,295,33228,118,1.056,77.04,1.312,19.318,0.03,0.888,0.355
057,312,12782,425,18070,10,215,31906,92,0.978,40.061,1.332,56.635,0.031,0.674,0.288
058,194,11139,251,19235,7,87,30970,57,0.626,35.967,0.81,62.108,0.023,0.281,0.184
059,250,23248,463,4045,30,488,28610,86,0.874,81.258,1.618,14.138,0.105,1.706,0.301
060,178,19830,245,11350,6,88,31778,81,0.56,62.402,0.771,35.717,0.019,0.277,0.255
061,285,7246,347,22913,18,512,31379,58,0.908,23.092,1.106,73.02,0.057,1.632,0.185
062,240,18465,116,12248,5,115,31262,73,0.768,59.065,0.371,39.179,0.016,0.368,0.234
063,233,6909,89,23820,1,99,31224,73,0.746,22.127,0.285,76.287,0.003,0.317,0.234
064,203,25333,103,4020,9,110,29885,107,0.679,84.768,0.345,13.452,0.03,0.368,0.358
065,342,24064,615,5967,2,677,31773,106,1.076,75.737,1.936,18.78,0.006,2.131,0.334
066,361,25781,392,5494,11,1226,33355,90,1.082,77.293,1.175,16.471,0.033,3.676,0.27
067,454,15216,340,15791,12,2197,34100,90,1.331,44.622,0.997,46.308,0.035,6.443,0.264
068,406,26147,354,6131,18,1039,34171,76,1.188,76.518,1.036,17.942,0.053,3.041,0.222
069,392,24537,661,6874,11,1242,33797,80,1.16,72.601,1.956,20.339,0.033,3.675,0.237
070,373,23055,679,7759,11,1248,33198,73,1.124,69.447,2.045,23.372,0.033,3.759,0.22
071,234,27249,408,1923,8,191,30159,146,0.776,90.351,1.353,6.376,0.027,0.633,0.484
072,256,13328,199,17049,13,133,31065,87,0.824,42.904,0.641,54.882,0.042,0.428,0.28
073,306,24430,278,5419,14,145,30680,88,0.997,79.628,0.906,17.663,0.046,0.473,0.287
074,270,27913,234,2604,5,79,31254,149,0.864,89.31,0.749,8.332,0.016,0.253,0.477
075,268,20472,177,9635,2,78,30711,79,0.873,66.66,0.576,31.373,0.007,0.254,0.257
076,431,23303,572,5158,10,651,30254,129,1.425,77.025,1.891,17.049,0.033,2.152,0.426
077,286,26971,259,2645,9,278,30568,120,0.936,88.233,0.847,8.653,0.029,0.909,0.393
078,460,30446,1114,2766,11,611,35535,127,1.294,85.679,3.135,7.784,0.031,1.719,0.357
079,655,27797,1577,3364,17,1848,35350,92,1.853,78.634,4.461,9.516,0.048,5.228,0.26
080,650,28644,1699,4646,19,1111,36870,101,1.763,77.689,4.608,12.601,0.052,3.013,0.274
081,260,25451,158,4913,10,95,30985,98,0.839,82.14,0.51,15.856,0.032,0.307,0.316
082,460,31460,663,3525,19,668,36906,111,1.246,85.244,1.796,9.551,0.051,1.81,0.301
083,350,13680,848,16658,11,1047,32789,195,1.067,41.721,2.586,50.804,0.034,3.193,0.595
