district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,1866,27834,4173,7265,418,4061,45913,296,4.064,60.623,9.089,15.823,0.91,8.845,0.645
002,1522,36576,1315,2695,225,6095,48624,196,3.13,75.222,2.704,5.543,0.463,12.535,0.403
003,1844,28311,8354,5329,285,2060,46601,418,3.957,60.752,17.927,11.435,0.612,4.421,0.897
004,1548,36972,1793,4179,249,3192,48236,303,3.209,76.648,3.717,8.664,0.516,6.617,0.628
005,1793,35040,3219,4314,304,6309,51256,277,3.498,68.363,6.28,8.417,0.593,12.309,0.54
006,1572,15065,11348,13590,182,1217,43360,386,3.625,34.744,26.172,31.342,0.42,2.807,0.89
007,1834,21274,8034,10332,355,2661,44834,344,4.091,47.451,17.919,23.045,0.792,5.935,0.767
008,1835,29702,3771,5158,431,9774,51006,335,3.598,58.232,7.393,10.113,0.845,19.162,0.657
009,1817,30394,2525,3879,412,10247,49502,228,3.671,61.4,5.101,7.836,0.832,20.7,0.461
010,1777,27850,9727,4608,308,4126,48765,369,3.644,57.111,19.947,9.449,0.632,8.461,0.757
011,1774,21068,14242,5661,205,1478,44910,482,3.95,46.912,31.712,12.605,0.456,3.291,1.073
012,1698,28936,6598,4217,291,5430,47558,388,3.57,60.844,13.874,8.867,0.612,11.418,0.816
013,1496,34742,1766,3970,255,2838,45324,257,3.301,76.653,3.896,8.759,0.563,6.262,0.567
014,1618,24262,10404,5064,328,2876,44948,396,3.6,53.978,23.147,11.266,0.73,6.399,0.881
015,1719,31122,9340,4302,274,2762,50055,536,3.434,62.176,18.659,8.595,0.547,5.518,1.071
016,2223,28685,8629,6034,372,4826,51219,450,4.34,56.005,16.847,11.781,0.726,9.422,0.879
017,1909,22223,5859,8787,493,3993,43597,333,4.379,50.974,13.439,20.155,1.131,9.159,0.764
018,1912,30367,7111,3999,339,3801,47941,412,3.988,63.342,14.833,8.342,0.707,7.928,0.859
019,1313,37885,3840,2967,246,1681,48409,477,2.712,78.26,7.932,6.129,0.508,3.472,0.985
020,2108,34122,6169,4368,455,3743,51346,381,4.105,66.455,12.015,8.507,0.886,7.29,0.742
021,1819,36289,2837,2933,503,5664,50315,270,3.615,72.124,5.638,5.829,1.0,11.257,0.537
022,1472,38954,1550,2043,247,4225,48731,240,3.021,79.937,3.181,4.192,0.507,8.67,0.492
023,1264,44899,1108,1403,153,3450,52624,347,2.402,85.32,2.106,2.666,0.291,6.556,0.659
024,1867,36448,6575,1978,432,3193,51544,1051,3.622,70.712,12.756,3.837,0.838,6.195,2.039
025,1051,43226,1879,721,176,2485,49962,424,2.104,86.518,3.761,1.443,0.352,4.974,0.849
026,1027,42773,2240,602,166,2798,49946,340,2.056,85.638,4.485,1.205,0.332,5.602,0.681
027,1405,38948,4122,1020,322,2726,49172,629,2.857,79.208,8.383,2.074,0.655,5.544,1.279
028,1738,19929,13378,4679,172,1618,41902,388,4.148,47.561,31.927,11.167,0.41,3.861,0.926
029,1720,39133,2573,2511,308,3326,49925,354,3.445,78.384,5.154,5.03,0.617,6.662,0.709
030,1380,34349,6165,1411,360,3140,47471,666,2.907,72.358,12.987,2.972,0.758,6.615,1.403
031,1245,38066,3353,1049,198,2490,46969,568,2.651,81.045,7.139,2.233,0.422,5.301,1.209
032,1014,39887,2744,955,141,699,48321,2881,2.098,82.546,5.679,1.976,0.292,1.447,5.962
033,953,38827,3365,740,53,479,46610,2193,2.045,83.302,7.219,1.588,0.114,1.028,4.705
034,1713,33318,4287,5143,387,3759,48929,322,3.501,68.095,8.762,10.511,0.791,7.683,0.658
035,1912,28051,2697,3121,380,10929,47304,214,4.042,59.299,5.701,6.598,0.803,23.104,0.452
036,1255,41972,2322,3041,216,1156,50782,820,2.471,82.651,4.572,5.988,0.425,2.276,1.615
037,1348,40269,2042,4064,274,3216,51469,256,2.619,78.239,3.967,7.896,0.532,6.248,0.497
038,1263,41204,2218,461,115,976,47776,1539,2.644,86.244,4.642,0.965,0.241,2.043,3.221
039,1095,46089,1545,226,81,824,50700,840,2.16,90.905,3.047,0.446,0.16,1.625,1.657
040,1014,43158,3329,979,102,1067,50687,1038,2.001,85.146,6.568,1.931,0.201,2.105,2.048
041,2044,31471,3156,3641,502,7663,48852,375,4.184,64.421,6.46,7.453,1.028,15.686,0.768
042,1795,30583,5703,5106,400,8174,52148,387,3.442,58.647,10.936,9.791,0.767,15.675,0.742
