district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,603,49992,697,11919,28,538,63999,222,0.942,78.114,1.089,18.624,0.044,0.841,0.347
002,608,44472,1748,16907,16,295,64474,428,0.943,68.977,2.711,26.223,0.025,0.458,0.664
003,851,48833,1316,12254,71,824,64476,327,1.32,75.738,2.041,19.006,0.11,1.278,0.507
004,793,45449,5357,9832,57,585,62318,245,1.273,72.931,8.596,15.777,0.091,0.939,0.393
005,685,27735,617,34384,25,351,64226,429,1.067,43.183,0.961,53.536,0.039,0.547,0.668
006,607,52049,1673,10989,18,273,65867,258,0.922,79.021,2.54,16.684,0.027,0.414,0.392
007,666,26146,1367,29100,17,462,58173,415,1.145,44.945,2.35,50.023,0.029,0.794,0.713
008,612,42316,1782,17129,20,646,62690,185,0.976,67.5,2.843,27.323,0.032,1.03,0.295
009,838,50872,1414,12191,37,1153,66720,215,1.256,76.247,2.119,18.272,0.055,1.728,0.322
010,638,50147,2094,9381,44,546,63125,275,1.011,79.441,3.317,14.861,0.07,0.865,0.436
011,1486,47032,3273,9417,24,5432,67054,390,2.216,70.14,4.881,14.044,0.036,8.101,0.582
012,662,25555,1794,28912,44,629,57832,236,1.145,44.188,3.102,49.993,0.076,1.088,0.408
013,714,54015,660,5619,48,481,61839,302,1.155,87.348,1.067,9.086,0.078,0.778,0.488
014,1614,41730,1890,9228,179,1547,56588,400,2.852,73.744,3.34,16.307,0.316,2.734,0.707
015,1525,45959,1795,8610,171,1098,59638,480,2.557,77.063,3.01,14.437,0.287,1.841,0.805
016,801,44884,1468,9143,33,300,56936,307,1.407,78.832,2.578,16.058,0.058,0.527,0.539
017,567,57012,1029,4985,25,285,64270,367,0.882,88.707,1.601,7.756,0.039,0.443,0.571
018,1050,40411,1533,17503,29,491,61478,461,1.708,65.732,2.494,28.47,0.047,0.799,0.75
019,730,53954,1378,3618,40,672,60681,289,1.203,88.914,2.271,5.962,0.066,1.107,0.476
020,710,55283,971,4998,37,858,63095,238,1.125,87.619,1.539,7.921,0.059,1.36,0.377
021,852,24177,4440,31876,36,591,62288,316,1.368,38.815,7.128,51.175,0.058,0.949,0.507
022,663,38793,4934,16520,40,197,62541,1394,1.06,62.028,7.889,26.415,0.064,0.315,2.229
023,421,28157,1072,31756,19,134,61743,184,0.682,45.604,1.736,51.433,0.031,0.217,0.298
024,820,22039,3097,35165,39,748,62122,214,1.32,35.477,4.985,56.606,0.063,1.204,0.344
025,589,47353,2435,9473,7,317,60489,315,0.974,78.284,4.026,15.661,0.012,0.524,0.521
026,677,45161,2822,9631,18,484,59094,301,1.146,76.422,4.775,16.298,0.03,0.819,0.509
027,458,24998,470,31725,13,296,59572,1612,0.769,41.963,0.789,53.255,0.022,0.497,2.706
028,710,46573,4665,8377,16,235,60926,350,1.165,76.442,7.657,13.749,0.026,0.386,0.574
029,1220,22351,4323,31582,41,2957,62777,303,1.943,35.604,6.886,50.308,0.065,4.71,0.483
030,1189,42973,2821,11465,29,5855,64605,273,1.84,66.517,4.367,17.746,0.045,9.063,0.423
031,1155,19716,5936,29012,45,998,57181,319,2.02,34.48,10.381,50.737,0.079,1.745,0.558
032,625,28259,1554,31444,12,249,63054,911,0.991,44.817,2.465,49.868,0.019,0.395,1.445
033,1254,23862,4101,31812,36,1745,63164,354,1.985,37.778,6.493,50.364,0.057,2.763,0.56
034,1217,50375,2994,11060,30,1959,67925,290,1.792,74.163,4.408,16.283,0.044,2.884,0.427
035,752,41051,1682,9185,17,1531,54442,224,1.381,75.403,3.09,16.871,0.031,2.812,0.411
036,665,50840,1461,4490,46,2641,60452,309,1.1,84.1,2.417,7.427,0.076,4.369,0.511
037,848,46482,1468,7758,23,1371,58264,314,1.455,79.778,2.52,13.315,0.039,2.353,0.539
038,1358,20193,5058,29728,33,2619,59356,367,2.288,34.02,8.521,50.084,0.056,4.412,0.618
039,1035,38283,3274,15255,30,1123,59370,370,1.743,64.482,5.515,25.695,0.051,1.892,0.623
040,842,43685,631,5142,21,5032,55500,147,1.517,78.712,1.137,9.265,0.038,9.067,0.265
041,844,40438,629,3855,26,9880,55814,142,1.512,72.451,1.127,6.907,0.047,17.702,0.254
042,2037,21096,2256,28664,311,1838,56716,514,3.592,37.196,3.978,50.54,0.548,3.241,0.906
043,1449,25066,1136,29572,130,919,59130,858,2.451,42.391,1.921,50.012,0.22,1.554,1.451
044,1642,37860,1750,14186,218,1919,58620,1045,2.801,64.585,2.985,24.2,0.372,3.274,1.783
045,1527,42583,1580,11077,201,1045,59424,1411,2.57,71.66,2.659,18.641,0.338,1.759,2.374
046,663,41192,1340,16135,31,369,63448,3718,1.045,64.922,2.112,25.43,0.049,0.582,5.86
047,1061,14569,3162,10138,44,448,60007,30585,1.768,24.279,5.269,16.895,0.073,0.747,50.969
048,935,20402,1809,31176,34,352,61552,6844,1.519,33.146,2.939,50.65,0.055,0.572,11.119
049,746,55534,1222,5494,25,1870,65039,148,1.147,85.386,1.879,8.447,0.038,2.875,0.228
050,848,48090,1839,7936,12,3066,62006,215,1.368,77.557,2.966,12.799,0.019,4.945,0.347
051,852,41772,3059,8296,32,420,54848,417,1.553,76.16,5.577,15.125,0.058,0.766,0.76
052,596,49850,1294,7619,38,543,60407,467,0.987,82.524,2.142,12.613,0.063,0.899,0.773
053,1039,41932,2676,12915,67,668,59977,680,1.732,69.913,4.462,21.533,0.112,1.114,1.134
054,752,44262,4033,10673,17,607,60696,352,1.239,72.924,6.645,17.584,0.028,1.0,0.58
055,462,41389,1130,13632,16,366,57260,265,0.807,72.283,1.973,23.807,0.028,0.639,0.463
056,1204,50800,2086,7908,24,4228,66529,279,1.81,76.358,3.135,11.887,0.036,6.355,0.419
057,1068,24288,2199,29366,14,1972,59215,308,1.804,41.017,3.714,49.592,0.024,3.33,0.52
058,1082,26117,1887,30954,25,1517,61968,386,1.746,42.146,3.045,49.952,0.04,2.448,0.623
059,658,53259,794,8462,18,978,64403,234,1.022,82.696,1.233,13.139,0.028,1.519,0.363
060,1304,21754,3336,30376,51,3383,60602,398,2.152,35.897,5.505,50.124,0.084,5.582,0.657
061,704,48782,1786,9575,28,2957,64204,372,1.097,75.98,2.782,14.913,0.044,4.606,0.579
062,817,50654,999,8115,23,2732,63531,191,1.286,79.731,1.572,12.773,0.036,4.3,0.301
063,696,41803,3004,10714,20,629,57278,412,1.215,72.983,5.245,18.705,0.035,1.098,0.719
064,721,43637,2483,10535,23,730,58410,281,1.234,74.708,4.251,18.036,0.039,1.25,0.481
065,599,48026,1133,13268,32,229,63540,253,0.943,75.584,1.783,20.881,0.05,0.36,0.398
066,1114,40410,2096,13328,85,662,60905,3210,1.829,66.349,3.441,21.883,0.14,1.087,5.271
067,415,53460,1823,7353,27,974,64295,243,0.645,83.148,2.835,11.436,0.042,1.515,0.378
068,639,39713,2531,5613,14,1191,49871,170,1.281,79.631,5.075,11.255,0.028,2.388,0.341
069,682,42697,2990,6709,17,888,54263,280,1.257,78.685,5.51,12.364,0.031,1.636,0.516
070,573,49199,2911,3465,14,790,57325,373,1.0,85.825,5.078,6.044,0.024,1.378,0.651
071,1146,22958,6349,25230,19,822,56783,259,2.018,40.431,11.181,44.432,0.033,1.448,0.456
072,886,26212,4127,25588,65,887,57993,228,1.528,45.199,7.116,44.123,0.112,1.529,0.393
073,427,54087,1967,2581,16,299,59532,155,0.717,90.854,3.304,4.335,0.027,0.502,0.26
074,665,52078,1673,6327,14,627,61632,248,1.079,84.498,2.714,10.266,0.023,1.017,0.402
075,643,49232,1554,7133,23,1428,60220,207,1.068,81.754,2.581,11.845,0.038,2.371,0.344
076,562,50718,1743,7730,20,412,61416,231,0.915,82.581,2.838,12.586,0.033,0.671,0.376
077,564,46663,2031,9856,15,650,59974,195,0.94,77.805,3.386,16.434,0.025,1.084,0.325
078,509,51778,1797,3669,18,259,58404,374,0.872,88.655,3.077,6.282,0.031,0.443,0.64
079,562,52085,1522,4667,22,1105,60130,167,0.935,86.621,2.531,7.762,0.037,1.838,0.278
080,535,53737,1702,5072,12,467,61819,294,0.865,86.926,2.753,8.205,0.019,0.755,0.476
081,522,53084,1805,5552,8,931,62187,285,0.839,85.362,2.903,8.928,0.013,1.497,0.458
082,644,41976,2105,8727,20,1600,55280,208,1.165,75.933,3.808,15.787,0.036,2.894,0.376
083,730,45082,2740,8527,23,734,58046,210,1.258,77.666,4.72,14.69,0.04,1.265,0.362
084,531,47537,2008,7987,9,687,58924,165,0.901,80.675,3.408,13.555,0.015,1.166,0.28
085,465,57936,1409,2116,8,320,62493,239,0.744,92.708,2.255,3.386,0.013,0.512,0.382
086,619,53530,1649,3680,179,1757,61639,225,1.004,86.844,2.675,5.97,0.29,2.85,0.365
087,544,58950,1275,2971,19,298,64243,186,0.847,91.761,1.985,4.625,0.03,0.464,0.29
088,767,50780,2374,4527,21,1738,60386,179,1.27,84.092,3.931,7.497,0.035,2.878,0.296
089,526,50730,1536,4978,19,1509,59483,185,0.884,85.285,2.582,8.369,0.032,2.537,0.311
090,490,53146,2537,2095,11,248,58697,170,0.835,90.543,4.322,3.569,0.019,0.423,0.29
091,574,54647,1072,8317,11,216,65024,187,0.883,84.041,1.649,12.791,0.017,0.332,0.288
092,1003,39971,2492,9857,33,2877,56465,232,1.776,70.789,4.413,17.457,0.058,5.095,0.411
093,678,62913,861,895,19,468,65985,151,1.028,95.344,1.305,1.356,0.029,0.709,0.229
094,441,54361,1660,2310,19,251,59164,122,0.745,91.882,2.806,3.904,0.032,0.424,0.206
095,664,50749,1307,5695,19,1274,59928,220,1.108,84.683,2.181,9.503,0.032,2.126,0.367
096,636,48441,2336,4647,24,1824,58080,172,1.095,83.404,4.022,8.001,0.041,3.14,0.296
097,538,54140,1343,3272,11,298,59784,182,0.9,90.559,2.246,5.473,0.018,0.498,0.304
098,675,47287,1032,6125,18,1696,57014,181,1.184,82.939,1.81,10.743,0.032,2.975,0.317
099,1476,15997,5781,29174,49,1980,54808,351,2.693,29.187,10.548,53.229,0.089,3.613,0.64
100,1393,29359,7108,18281,90,2410,59033,392,2.36,49.733,12.041,30.967,0.152,4.082,0.664
101,1100,22300,2177,28468,33,2243,56640,319,1.942,39.371,3.844,50.261,0.058,3.96,0.563
102,1287,18171,5050,30428,74,2653,57969,306,2.22,31.346,8.712,52.49,0.128,4.577,0.528
103,725,44009,2034,7051,18,1947,56050,266,1.293,78.517,3.629,12.58,0.032,3.474,0.475
104,713,49774,862,4471,19,2158,58135,138,1.226,85.618,1.483,7.691,0.033,3.712,0.237
105,786,42861,1373,4948,31,4494,54649,156,1.438,78.43,2.512,9.054,0.057,8.223,0.285
106,1227,18326,4875,28492,52,3818,57108,318,2.149,32.09,8.536,49.891,0.091,6.686,0.557
107,1164,21391,1777,29855,34,3599,58033,213,2.006,36.86,3.062,51.445,0.059,6.202,0.367
108,640,47484,1763,8365,29,856,59400,263,1.077,79.939,2.968,14.082,0.049,1.441,0.443
109,623,42832,1589,10442,20,764,56493,223,1.103,75.818,2.813,18.484,0.035,1.352,0.395
110,517,47490,767,8697,4,294,57987,218,0.892,81.898,1.323,14.998,0.007,0.507,0.376
111,470,47151,508,9291,13,477,58045,135,0.81,81.232,0.875,16.007,0.022,0.822,0.233
112,538,53632,741,6168,11,424,61671,157,0.872,86.965,1.202,10.001,0.018,0.688,0.255
113,650,61998,1111,1953,30,260,66177,175,0.982,93.685,1.679,2.951,0.045,0.393,0.264
114,1120,55428,1761,8086,113,676,67453,269,1.66,82.173,2.611,11.988,0.168,1.002,0.399
115,821,60023,832,1529,24,460,63911,222,1.285,93.917,1.302,2.392,0.038,0.72,0.347
116,609,53593,1349,1601,42,654,58114,266,1.048,92.22,2.321,2.755,0.072,1.125,0.458
117,752,56024,2523,2104,82,671,62434,278,1.204,89.733,4.041,3.37,0.131,1.075,0.445
118,526,58718,610,603,16,170,60837,194,0.865,96.517,1.003,0.991,0.026,0.279,0.319
119,952,52836,1066,982,19,390,61452,5207,1.549,85.979,1.735,1.598,0.031,0.635,8.473
120,795,61750,799,649,17,286,65097,801,1.221,94.858,1.227,0.997,0.026,0.439,1.23
