district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,419,46769,297,931,8,217,48792,151,0.859,95.854,0.609,1.908,0.016,0.445,0.309
002,381,45915,233,1279,8,372,48316,128,0.789,95.031,0.482,2.647,0.017,0.77,0.265
003,341,49944,154,720,15,122,51410,114,0.663,97.148,0.3,1.401,0.029,0.237,0.222
004,419,49731,433,556,7,152,51408,110,0.815,96.738,0.842,1.082,0.014,0.296,0.214
005,381,45895,489,1060,12,167,48132,128,0.792,95.352,1.016,2.202,0.025,0.347,0.266
006,469,45581,410,1721,16,564,48882,121,0.959,93.247,0.839,3.521,0.033,1.154,0.248
007,543,45425,567,1962,12,584,49270,177,1.102,92.196,1.151,3.982,0.024,1.185,0.359
008,488,46037,391,897,6,226,48224,179,1.012,95.465,0.811,1.86,0.012,0.469,0.371
009,419,48006,140,585,6,204,49466,106,0.847,97.048,0.283,1.183,0.012,0.412,0.214
010,591,42407,2373,1907,47,337,47804,142,1.236,88.71,4.964,3.989,0.098,0.705,0.297
011,510,46513,356,884,26,147,48583,147,1.05,95.739,0.733,1.82,0.054,0.303,0.303
012,488,44704,1609,343,12,492,47834,186,1.02,93.457,3.364,0.717,0.025,1.029,0.389
013,721,42385,1164,4682,61,762,49982,207,1.443,84.801,2.329,9.367,0.122,1.525,0.414
014,427,41714,233,1057,14,1932,45468,91,0.939,91.744,0.512,2.325,0.031,4.249,0.2
015,835,34997,494,13385,56,697,50641,177,1.649,69.108,0.975,26.431,0.111,1.376,0.35
016,420,44833,483,1114,26,375,47372,121,0.887,94.64,1.02,2.352,0.055,0.792,0.255
017,414,45875,501,578,11,198,47755,178,0.867,96.063,1.049,1.21,0.023,0.415,0.373
018,658,42786,1045,3011,56,1428,49129,145,1.339,87.089,2.127,6.129,0.114,2.907,0.295
019,403,45361,204,1540,8,198,47807,93,0.843,94.884,0.427,3.221,0.017,0.414,0.195
020,483,44281,502,1585,18,403,47410,138,1.019,93.4,1.059,3.343,0.038,0.85,0.291
021,440,48238,1156,983,20,227,51234,170,0.859,94.152,2.256,1.919,0.039,0.443,0.332
022,490,48261,272,557,11,130,49906,185,0.982,96.704,0.545,1.116,0.022,0.26,0.371
023,696,48711,441,1562,13,326,51950,201,1.34,93.765,0.849,3.007,0.025,0.628,0.387
024,597,43182,1409,2679,21,570,48648,190,1.227,88.764,2.896,5.507,0.043,1.172,0.391
025,426,52391,664,138,41,189,54025,176,0.789,96.975,1.229,0.255,0.076,0.35,0.326
026,433,48121,399,2768,16,856,52722,129,0.821,91.273,0.757,5.25,0.03,1.624,0.245
027,512,49121,611,2278,27,685,53366,132,0.959,92.045,1.145,4.269,0.051,1.284,0.247
028,627,17820,1227,31584,70,340,51909,241,1.208,34.329,2.364,60.845,0.135,0.655,0.464
029,613,43563,940,6888,30,1162,53369,173,1.149,81.626,1.761,12.906,0.056,2.177,0.324
030,714,42777,1300,5974,61,1447,52486,213,1.36,81.502,2.477,11.382,0.116,2.757,0.406
031,494,47475,715,976,17,152,50060,231,0.987,94.836,1.428,1.95,0.034,0.304,0.461
032,475,45921,431,1126,28,268,48401,152,0.981,94.876,0.89,2.326,0.058,0.554,0.314
033,625,47909,455,2045,15,615,51843,179,1.206,92.412,0.878,3.945,0.029,1.186,0.345
034,627,40050,739,5079,17,1407,48080,161,1.304,83.299,1.537,10.564,0.035,2.926,0.335
035,406,46619,218,340,7,104,47821,127,0.849,97.486,0.456,0.711,0.015,0.217,0.266
036,447,47407,149,119,18,92,48361,129,0.924,98.027,0.308,0.246,0.037,0.19,0.267
037,669,38854,1980,5336,24,1227,48313,223,1.385,80.421,4.098,11.045,0.05,2.54,0.462
038,385,48960,389,163,4,83,50129,145,0.768,97.668,0.776,0.325,0.008,0.166,0.289
039,493,44926,357,1860,18,290,48123,179,1.024,93.357,0.742,3.865,0.037,0.603,0.372
040,466,46525,703,2229,19,255,50363,166,0.925,92.379,1.396,4.426,0.038,0.506,0.33
041,433,49180,108,886,10,84,50863,162,0.851,96.691,0.212,1.742,0.02,0.165,0.319
042,508,49025,967,1116,19,658,52494,201,0.968,93.392,1.842,2.126,0.036,1.253,0.383
043,478,48363,1132,1056,19,153,51370,169,0.931,94.146,2.204,2.056,0.037,0.298,0.329
044,470,43974,963,3667,34,312,49567,147,0.948,88.716,1.943,7.398,0.069,0.629,0.297
045,504,46188,473,2357,24,660,50369,163,1.001,91.699,0.939,4.679,0.048,1.31,0.324
046,480,45950,947,3019,18,329,50879,136,0.943,90.312,1.861,5.934,0.035,0.647,0.267
047,476,46034,662,1527,21,393,49277,164,0.966,93.419,1.343,3.099,0.043,0.798,0.333
048,711,41359,1142,6491,37,1545,51420,135,1.383,80.434,2.221,12.623,0.072,3.005,0.263
049,642,35781,1740,6207,28,1516,46077,163,1.393,77.655,3.776,13.471,0.061,3.29,0.354
050,602,41989,623,4117,27,1439,48933,136,1.23,85.809,1.273,8.414,0.055,2.941,0.278
051,865,35393,1720,13076,41,602,51920,223,1.666,68.168,3.313,25.185,0.079,1.159,0.43
052,1163,27728,3904,14117,60,1457,48641,212,2.391,57.005,8.026,29.023,0.123,2.995,0.436
053,1184,31890,3544,7444,18,2582,46853,191,2.527,68.064,7.564,15.888,0.038,5.511,0.408
054,596,16361,944,28559,32,394,47018,132,1.268,34.797,2.008,60.741,0.068,0.838,0.281
055,847,43160,973,4575,22,2928,52700,195,1.607,81.898,1.846,8.681,0.042,5.556,0.37
056,443,45938,177,1836,15,1612,50088,67,0.884,91.715,0.353,3.666,0.03,3.218,0.134
057,498,45771,362,2446,15,578,49859,189,0.999,91.801,0.726,4.906,0.03,1.159,0.379
058,756,14338,1366,29392,10,503,46496,131,1.626,30.837,2.938,63.214,0.022,1.082,0.282
059,1223,22476,5135,16110,47,1735,46891,165,2.608,47.932,10.951,34.356,0.1,3.7,0.352
060,753,40640,1323,6456,30,1332,50750,216,1.484,80.079,2.607,12.721,0.059,2.625,0.426
061,376,40802,372,1131,18,1623,44387,65,0.847,91.923,0.838,2.548,0.041,3.656,0.146
062,501,38983,2005,4109,40,298,46104,168,1.087,84.554,4.349,8.912,0.087,0.646,0.364
063,440,38483,252,1538,8,1571,42390,98,1.038,90.783,0.594,3.628,0.019,3.706,0.231
064,439,42205,750,3433,22,284,47278,145,0.929,89.27,1.586,7.261,0.047,0.601,0.307
065,396,37783,1119,2922,33,401,42776,122,0.926,88.328,2.616,6.831,0.077,0.937,0.285
066,421,43583,1219,3576,26,242,49241,174,0.855,88.51,2.476,7.262,0.053,0.491,0.353
067,1423,30443,1435,12430,195,1220,47440,294,3.0,64.172,3.025,26.202,0.411,2.572,0.62
068,825,41252,571,5323,79,989,49248,209,1.675,83.764,1.159,10.809,0.16,2.008,0.424
069,548,43333,624,5726,12,164,50624,217,1.082,85.598,1.233,11.311,0.024,0.324,0.429
070,544,45678,224,2820,9,174,49629,180,1.096,92.039,0.451,5.682,0.018,0.351,0.363
071,428,45309,195,1779,12,127,48018,168,0.891,94.358,0.406,3.705,0.025,0.264,0.35
072,422,45444,277,3091,10,129,49514,141,0.852,91.78,0.559,6.243,0.02,0.261,0.285
073,377,37429,730,8110,15,551,47308,96,0.797,79.118,1.543,17.143,0.032,1.165,0.203
074,1044,39334,867,5614,196,740,48108,313,2.17,81.762,1.802,11.67,0.407,1.538,0.651
075,485,45217,218,2300,7,252,48688,209,0.996,92.871,0.448,4.724,0.014,0.518,0.429
076,410,42123,388,5187,19,350,48591,114,0.844,86.689,0.799,10.675,0.039,0.72,0.235
077,385,43009,492,6017,15,176,50214,120,0.767,85.651,0.98,11.983,0.03,0.35,0.239
078,438,46618,467,1186,18,198,49107,182,0.892,94.931,0.951,2.415,0.037,0.403,0.371
079,329,39878,328,7815,9,90,48583,134,0.677,82.082,0.675,16.086,0.019,0.185,0.276
