district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,1818,95653,3653,22739,49,818,125927,1197,1.444,75.959,2.901,18.057,0.039,0.65,0.951
002,1878,112862,5832,8038,132,1017,130806,1047,1.436,86.282,4.459,6.145,0.101,0.777,0.8
003,1943,94488,9690,11189,68,1236,119595,981,1.625,79.007,8.102,9.356,0.057,1.033,0.82
004,1703,103339,6197,10645,45,877,123603,797,1.378,83.606,5.014,8.612,0.036,0.71,0.645
005,1483,96655,7599,12964,54,567,120169,847,1.234,80.433,6.324,10.788,0.045,0.472,0.705
006,1609,84435,8564,22206,46,1675,119154,619,1.35,70.862,7.187,18.636,0.039,1.406,0.519
007,1650,89687,7187,19877,49,1122,120296,724,1.372,74.555,5.974,16.523,0.041,0.933,0.602
008,1487,90226,11083,19284,277,550,123550,643,1.204,73.028,8.97,15.608,0.224,0.445,0.52
009,1350,95040,5282,23071,32,490,125947,682,1.072,75.46,4.194,18.318,0.025,0.389,0.541
010,1742,95620,8475,9747,71,617,116978,706,1.489,81.742,7.245,8.332,0.061,0.527,0.604
011,1763,93681,9004,21926,39,956,128086,717,1.376,73.139,7.03,17.118,0.03,0.746,0.56
012,1642,82528,11165,22467,28,1074,119556,652,1.373,69.029,9.339,18.792,0.023,0.898,0.545
013,1576,105151,7886,15260,47,632,131129,577,1.202,80.189,6.014,11.637,0.036,0.482,0.44
014,2595,97144,9214,13682,91,8165,131479,588,1.974,73.886,7.008,10.406,0.069,6.21,0.447
015,1892,104476,4083,4685,112,4611,120450,591,1.571,86.738,3.39,3.89,0.093,3.828,0.491
016,2192,101602,9823,6390,60,1235,122271,969,1.793,83.096,8.034,5.226,0.049,1.01,0.793
017,2057,92279,15084,10036,74,786,121295,979,1.696,76.078,12.436,8.274,0.061,0.648,0.807
018,1920,99612,8559,21129,51,897,132877,709,1.445,74.966,6.441,15.901,0.038,0.675,0.534
019,1241,109577,4499,14685,28,583,131682,1069,0.942,83.213,3.417,11.152,0.021,0.443,0.812
020,1622,107562,6867,4111,62,841,121754,689,1.332,88.344,5.64,3.376,0.051,0.691,0.566
021,1633,110873,4665,9568,56,2844,130308,669,1.253,85.085,3.58,7.343,0.043,2.183,0.513
022,1833,48552,10179,57469,33,4153,122897,678,1.491,39.506,8.283,46.762,0.027,3.379,0.552
023,2463,84146,10720,22982,59,2465,123736,901,1.991,68.004,8.664,18.573,0.048,1.992,0.728
024,2008,97710,5873,7963,61,4307,118491,569,1.695,82.462,4.956,6.72,0.051,3.635,0.48
025,2109,98082,11308,14950,36,1745,129041,811,1.634,76.008,8.763,11.585,0.028,1.352,0.628
026,2540,66182,5086,12848,38,30210,117247,343,2.166,56.447,4.338,10.958,0.032,25.766,0.293
027,2394,39023,7873,47888,48,15928,113596,442,2.107,34.352,6.931,42.156,0.042,14.022,0.389
028,2213,67776,5900,14810,40,16824,107968,405,2.05,62.774,5.465,13.717,0.037,15.582,0.375
029,2268,84820,10245,15285,38,10875,124171,640,1.827,68.309,8.251,12.31,0.031,8.758,0.515
030,2013,102886,10798,6541,31,1758,124729,702,1.614,82.488,8.657,5.244,0.025,1.409,0.563
031,1591,109405,8368,1328,26,453,121699,528,1.307,89.898,6.876,1.091,0.021,0.372,0.434
032,2530,104175,9633,5241,151,3535,126072,807,2.007,82.631,7.641,4.157,0.12,2.804,0.64
033,2015,96829,5695,7777,77,6417,119518,708,1.686,81.016,4.765,6.507,0.064,5.369,0.592
034,2454,103705,13443,4545,47,941,125896,761,1.949,82.374,10.678,3.61,0.037,0.747,0.604
035,1294,98491,8005,472,17,475,109154,400,1.185,90.231,7.334,0.432,0.016,0.435,0.366
036,1563,97433,10099,525,8,902,110963,433,1.409,87.807,9.101,0.473,0.007,0.813,0.39
037,1776,98707,11473,534,36,520,113454,408,1.565,87.002,10.112,0.471,0.032,0.458,0.36
038,1576,96715,10342,562,32,1186,110865,452,1.422,87.237,9.328,0.507,0.029,1.07,0.408
039,1327,97766,10557,338,14,407,110751,342,1.198,88.276,9.532,0.305,0.013,0.367,0.309
040,1500,92982,11299,1089,12,813,108086,391,1.388,86.026,10.454,1.008,0.011,0.752,0.362
041,1525,101506,7773,835,27,3046,115033,321,1.326,88.241,6.757,0.726,0.023,2.648,0.279
042,1699,94811,9019,416,12,784,107148,407,1.586,88.486,8.417,0.388,0.011,0.732,0.38
043,2141,104826,11079,4267,86,1324,124492,769,1.72,84.203,8.899,3.428,0.069,1.064,0.618
044,2535,105793,9187,6638,148,1573,126713,839,2.001,83.49,7.25,5.239,0.117,1.241,0.662
045,2610,105271,11941,4185,104,1473,126549,965,2.062,83.186,9.436,3.307,0.082,1.164,0.763
046,3452,63826,19937,24833,100,5168,118539,1223,2.912,53.844,16.819,20.949,0.084,4.36,1.032
047,2120,110493,4349,2238,73,7845,127689,571,1.66,86.533,3.406,1.753,0.057,6.144,0.447
048,2945,112299,7956,4288,88,7220,135585,789,2.172,82.826,5.868,3.163,0.065,5.325,0.582
049,3953,111784,10593,6125,97,10944,144371,875,2.738,77.428,7.337,4.243,0.067,7.58,0.606
050,3372,83024,10835,13737,109,12382,124252,793,2.714,66.819,8.72,11.056,0.088,9.965,0.638
051,4203,78381,29285,12082,101,3087,128793,1654,3.263,60.858,22.738,9.381,0.078,2.397,1.284
052,2567,85057,10094,10417,131,5094,114146,786,2.249,74.516,8.843,9.126,0.115,4.463,0.689
053,1860,114486,7620,1758,74,702,127381,881,1.46,89.877,5.982,1.38,0.058,0.551,0.692
054,4212,71517,7517,27280,1164,4515,117164,959,3.595,61.04,6.416,23.284,0.993,3.854,0.819
055,3070,85348,9206,18019,515,2662,119755,935,2.564,71.269,7.687,15.047,0.43,2.223,0.781
056,2015,96464,9810,12192,73,2154,123411,703,1.633,78.165,7.949,9.879,0.059,1.745,0.57
057,1332,93986,8192,19753,20,801,124630,546,1.069,75.412,6.573,15.849,0.016,0.643,0.438
058,1745,110359,6732,3065,284,803,123826,838,1.409,89.124,5.437,2.475,0.229,0.648,0.677
059,2430,99708,7809,9428,424,1477,122193,917,1.989,81.599,6.391,7.716,0.347,1.209,0.75
060,1597,120132,6346,2263,65,631,131870,836,1.211,91.099,4.812,1.716,0.049,0.479,0.634
061,1826,119636,5624,2031,45,641,130782,979,1.396,91.477,4.3,1.553,0.034,0.49,0.749
062,2108,105346,4890,7237,37,953,122203,1632,1.725,86.206,4.002,5.922,0.03,0.78,1.335
063,1861,95446,5378,5505,80,6679,115634,685,1.609,82.541,4.651,4.761,0.069,5.776,0.592
064,2860,102442,7613,10544,120,4580,129175,1016,2.214,79.305,5.894,8.163,0.093,3.546,0.787
065,2967,82658,9058,15128,67,14366,124977,733,2.374,66.139,7.248,12.105,0.054,11.495,0.587
066,2891,88739,3854,11521,71,23278,130796,442,2.21,67.845,2.947,8.808,0.054,17.797,0.338
067,2733,89412,6594,8987,90,17976,126368,576,2.163,70.755,5.218,7.112,0.071,14.225,0.456
068,1617,106093,8028,4247,25,584,121547,953,1.33,87.286,6.605,3.494,0.021,0.48,0.784
069,2265,100049,6658,10706,87,2153,123063,1145,1.841,81.299,5.41,8.7,0.071,1.75,0.93
070,2223,93117,7159,10015,73,4004,117432,841,1.893,79.294,6.096,8.528,0.062,3.41,0.716
071,2376,102600,10104,9308,93,1779,127097,837,1.869,80.726,7.95,7.324,0.073,1.4,0.659
072,2400,107226,13483,5393,90,1168,130771,1011,1.835,81.995,10.31,4.124,0.069,0.893,0.773
073,1847,116674,6191,1467,67,898,127882,738,1.444,91.236,4.841,1.147,0.052,0.702,0.577
074,1832,99351,10518,2002,46,588,115236,899,1.59,86.215,9.127,1.737,0.04,0.51,0.78
075,1239,89858,9422,1274,55,469,103209,892,1.2,87.064,9.129,1.234,0.053,0.454,0.864
076,2534,96303,13471,2427,109,597,116389,948,2.177,82.742,11.574,2.085,0.094,0.513,0.815
077,3078,92768,13495,3817,171,1702,115924,893,2.655,80.025,11.641,3.293,0.148,1.468,0.77
078,2575,90608,9487,5729,230,2559,111913,725,2.301,80.963,8.477,5.119,0.206,2.287,0.648
079,2263,93347,10681,4061,114,1256,112399,677,2.013,83.05,9.503,3.613,0.101,1.117,0.602
080,1752,94918,11902,1092,29,800,110953,460,1.579,85.548,10.727,0.984,0.026,0.721,0.415
081,2388,94626,16651,4749,84,899,120535,1138,1.981,78.505,13.814,3.94,0.07,0.746,0.944
082,2129,93564,13391,7275,45,1331,118623,888,1.795,78.875,11.289,6.133,0.038,1.122,0.749
083,2036,106704,11765,5259,37,1277,127906,828,1.592,83.424,9.198,4.112,0.029,0.998,0.647
084,2570,97598,12506,11659,111,3501,128898,953,1.994,75.717,9.702,9.045,0.086,2.716,0.739
085,2163,72495,13750,15704,27,8817,113433,477,1.907,63.91,12.122,13.844,0.024,7.773,0.421
086,1944,106899,7734,2674,56,1377,121555,871,1.599,87.943,6.363,2.2,0.046,1.133,0.717
087,2375,95442,12681,9329,55,4203,125360,1275,1.895,76.134,10.116,7.442,0.044,3.353,1.017
088,2116,92070,15637,4354,42,393,115622,1010,1.83,79.63,13.524,3.766,0.036,0.34,0.874
089,2263,88818,5427,9955,55,11090,118380,772,1.912,75.028,4.584,8.409,0.046,9.368,0.652
090,3149,61473,28287,10358,42,1407,105582,866,2.983,58.223,26.791,9.81,0.04,1.333,0.82
091,2364,95558,7957,5505,200,6589,119048,875,1.986,80.268,6.684,4.624,0.168,5.535,0.735
092,2759,93359,6273,13811,964,8368,126290,756,2.185,73.924,4.967,10.936,0.763,6.626,0.599
093,2915,79870,9900,13074,181,6917,113584,727,2.566,70.318,8.716,11.51,0.159,6.09,0.64
094,2695,91469,7358,14889,125,8205,125516,775,2.147,72.874,5.862,11.862,0.1,6.537,0.617
095,2292,46770,11846,51344,90,2721,115752,689,1.98,40.405,10.234,44.357,0.078,2.351,0.595
096,2109,80580,6249,19941,76,4299,113924,670,1.851,70.731,5.485,17.504,0.067,3.774,0.588
097,2368,101234,7787,15199,92,3956,131335,699,1.803,77.081,5.929,11.573,0.07,3.012,0.532
098,1717,99745,3789,3638,100,5381,114953,583,1.494,86.77,3.296,3.165,0.087,4.681,0.507
099,2489,103400,8198,7619,96,2978,125780,1000,1.979,82.207,6.518,6.057,0.076,2.368,0.795
100,2326,48563,17089,47259,49,1461,117479,732,1.98,41.338,14.546,40.228,0.042,1.244,0.623
101,2835,50528,15626,28881,143,11462,110209,734,2.572,45.847,14.179,26.206,0.13,10.4,0.666
102,3013,78006,13163,15896,60,11694,122520,688,2.459,63.668,10.744,12.974,0.049,9.545,0.562
103,3822,73000,32481,9980,53,3292,123719,1091,3.089,59.005,26.254,8.067,0.043,2.661,0.882
104,3110,62559,30938,14973,40,2333,115035,1082,2.704,54.383,26.894,13.016,0.035,2.028,0.941
105,3415,79865,19700,14526,162,8805,127590,1117,2.677,62.595,15.44,11.385,0.127,6.901,0.875
106,2249,87934,5277,8552,84,5754,110568,718,2.034,79.529,4.773,7.735,0.076,5.204,0.649
107,2818,84300,13987,17900,92,4005,123986,884,2.273,67.992,11.281,14.437,0.074,3.23,0.713
108,2458,106160,10432,8426,64,5396,133667,731,1.839,79.421,7.804,6.304,0.048,4.037,0.547
109,2107,38437,10869,69258,53,1040,122353,589,1.722,31.415,8.883,56.605,0.043,0.85,0.481
110,2454,37529,23512,46968,17,438,111813,895,2.195,33.564,21.028,42.006,0.015,0.392,0.8
111,2210,40553,13315,58791,66,2837,118406,634,1.866,34.249,11.245,49.652,0.056,2.396,0.535
112,2787,74188,12212,16777,52,13339,120192,837,2.319,61.725,10.16,13.958,0.043,11.098,0.696
113,2651,77146,11419,21013,38,7606,120829,956,2.194,63.847,9.451,17.391,0.031,6.295,0.791
114,2549,87674,14154,20423,54,5228,130817,735,1.949,67.02,10.82,15.612,0.041,3.996,0.562
115,2802,76146,8707,13335,78,23726,125470,676,2.233,60.689,6.94,10.628,0.062,18.91,0.539
116,4228,96810,16240,7404,147,6719,132823,1275,3.183,72.886,12.227,5.574,0.111,5.059,0.96
117,3046,87363,15701,7413,285,2370,117126,948,2.601,74.589,13.405,6.329,0.243,2.023,0.809
118,3150,90109,17715,3376,117,1298,116859,1094,2.696,77.109,15.159,2.889,0.1,1.111,0.936
119,3159,83107,15516,10160,143,1340,114477,1052,2.76,72.597,13.554,8.875,0.125,1.171,0.919
120,3743,69778,14545,32180,285,3216,124829,1082,2.999,55.899,11.652,25.779,0.228,2.576,0.867
121,3078,109114,8671,7561,203,3833,133224,764,2.31,81.903,6.509,5.675,0.152,2.877,0.573
122,2626,109061,5529,4448,138,6374,128725,549,2.04,84.724,4.295,3.455,0.107,4.952,0.426
123,3866,103534,19584,5480,80,1844,135763,1375,2.848,76.261,14.425,4.036,0.059,1.358,1.013
124,3924,85445,17824,9216,190,2751,120503,1153,3.256,70.907,14.791,7.648,0.158,2.283,0.957
125,3572,93704,18188,5606,140,2853,125158,1095,2.854,74.869,14.532,4.479,0.112,2.28,0.875
126,2858,77374,12151,17024,70,12871,123014,666,2.323,62.899,9.878,13.839,0.057,10.463,0.541
127,2087,88860,6415,14339,254,3378,115865,532,1.801,76.693,5.537,12.376,0.219,2.915,0.459
128,2170,96756,11311,10959,95,2639,124645,715,1.741,77.625,9.075,8.792,0.076,2.117,0.574
129,2789,94648,7816,10560,114,13902,130457,628,2.138,72.551,5.991,8.095,0.087,10.656,0.481
130,2040,95874,7422,8995,71,7080,122108,626,1.671,78.516,6.078,7.366,0.058,5.798,0.513
131,3864,37408,19879,50641,58,8809,121368,709,3.184,30.822,16.379,41.725,0.048,7.258,0.584
132,3156,78803,12605,14741,85,7585,117666,691,2.682,66.972,10.713,12.528,0.072,6.446,0.587
133,2871,99184,6248,13004,65,13018,134781,391,2.13,73.589,4.636,9.648,0.048,9.659,0.29
134,2509,114122,4799,6922,56,14757,143575,410,1.748,79.486,3.343,4.821,0.039,10.278,0.286
135,3025,74767,11545,17559,73,13478,121136,689,2.497,61.722,9.531,14.495,0.06,11.126,0.569
136,2551,93558,5420,5416,124,8659,116361,633,2.192,80.403,4.658,4.654,0.107,7.441,0.544
137,6195,57137,24716,21697,142,14936,126727,1904,4.888,45.087,19.503,17.121,0.112,11.786,1.502
138,3616,78111,19057,10558,85,12156,124435,852,2.906,62.773,15.315,8.485,0.068,9.769,0.685
139,3039,44719,17463,51358,51,6432,123875,813,2.453,36.1,14.097,41.46,0.041,5.192,0.656
140,4156,61572,30936,12357,46,2163,112332,1102,3.7,54.813,27.54,11.0,0.041,1.926,0.981
141,3000,33434,18231,56117,193,2241,113951,735,2.633,29.341,15.999,49.247,0.169,1.967,0.645
142,2723,43589,14229,50038,85,1992,113288,632,2.404,38.476,12.56,44.169,0.075,1.758,0.558
143,3721,66531,25985,14935,53,1436,113877,1216,3.268,58.424,22.818,13.115,0.047,1.261,1.068
144,3154,77985,21899,3800,46,703,108509,922,2.907,71.87,20.182,3.502,0.042,0.648,0.85
145,3898,72933,27280,8302,59,3579,116918,867,3.334,62.38,23.333,7.101,0.05,3.061,0.742
146,3565,44174,13465,56054,70,12509,130444,607,2.733,33.864,10.322,42.972,0.054,9.59,0.465
147,3055,58343,15928,51001,70,7003,136034,634,2.246,42.889,11.709,37.491,0.051,5.148,0.466
148,4149,82434,27671,8206,54,2274,125873,1085,3.296,65.49,21.983,6.519,0.043,1.807,0.862
149,3878,50555,13703,29161,59,25284,123284,644,3.146,41.007,11.115,23.654,0.048,20.509,0.522
150,2425,86893,8893,14885,183,6593,120462,590,2.013,72.133,7.382,12.357,0.152,5.473,0.49
