state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
VA,10,40,1151835.0,6147347.0,25.0,18.737
LA,19,40,1026233.0,3415357.0,47.5,30.048
MS,28,52,767499.0,2211742.0,53.846,34.701
NY,12,63,2292769.0,15053173.0,19.048,15.231
AL,9,35,855682.0,3334409.0,25.714,25.662
IL,10,60,1335818.0,9701453.0,16.667,13.769
NM,0,42,31019.0,1540507.0,0.0,2.014
DE,6,21,137742.0,692169.0,28.571,19.9
FL,7,40,2136430.0,14799219.0,17.5,14.436
MD,18,48,1256052.0,4420588.0,37.5,28.414
SC,19,46,939461.0,3544890.0,41.304,26.502
TN,5,33,755492.0,4850104.0,15.152,15.577
AZ,0,30,182710.0,4763003.0,0.0,3.836
GA,26,56,2097470.0,7196101.0,46.429,29.147
AR,7,35,315462.0,2204443.0,20.0,14.31
NJ,6,40,883471.0,6726680.0,15.0,13.134
TX,2,31,2123923.0,18279737.0,6.452,11.619
NV,1,21,158545.0,2035543.0,4.762,7.789
NC,12,50,1497453.0,7253848.0,24.0,20.644
