district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,136648,115168,15007,706,764,59,2802,2142,84.281,10.982,0.517,0.559,0.043,2.051,1.568
002,137922,92326,33654,856,4718,170,2738,3460,66.941,24.401,0.621,3.421,0.123,1.985,2.509
003,137642,106813,18828,1148,1570,122,6306,2855,77.602,13.679,0.834,1.141,0.089,4.581,2.074
004,135214,124870,2348,2446,444,35,2451,2620,92.35,1.737,1.809,0.328,0.026,1.813,1.938
005,135415,123401,8678,501,365,63,968,1439,91.128,6.408,0.37,0.27,0.047,0.715,1.063
006,136009,107325,20449,707,696,64,4489,2279,78.91,15.035,0.52,0.512,0.047,3.301,1.676
007,137911,90411,37708,1026,1952,140,3562,3112,65.557,27.342,0.744,1.415,0.102,2.583,2.257
008,137920,122657,4528,1680,1000,167,4645,3243,88.933,3.283,1.218,0.725,0.121,3.368,2.351
009,137921,121504,2102,1344,1070,142,9176,2583,88.097,1.524,0.974,0.776,0.103,6.653,1.873
010,137323,112408,16854,653,762,227,4378,2041,81.857,12.273,0.476,0.555,0.165,3.188,1.486
011,136114,111148,20361,446,761,54,1567,1777,81.658,14.959,0.328,0.559,0.04,1.151,1.306
012,135258,102224,27190,594,961,99,2003,2187,75.577,20.102,0.439,0.71,0.073,1.481,1.617
013,137883,104895,28456,459,763,71,1281,1958,76.075,20.638,0.333,0.553,0.051,0.929,1.42
014,136210,109352,19173,415,1314,50,4089,1817,80.282,14.076,0.305,0.965,0.037,3.002,1.334
015,136868,110302,19832,365,2069,56,2623,1621,80.59,14.49,0.267,1.512,0.041,1.916,1.184
016,137160,109282,16223,340,5691,32,3725,1867,79.675,11.828,0.248,4.149,0.023,2.716,1.361
017,135227,122394,7246,546,567,50,2948,1476,90.51,5.358,0.404,0.419,0.037,2.18,1.091
018,135258,46940,79939,334,2326,63,4093,1563,34.704,59.101,0.247,1.72,0.047,3.026,1.156
019,135218,42729,88314,371,293,15,2324,1172,31.6,65.312,0.274,0.217,0.011,1.719,0.867
020,135211,43734,85382,321,794,87,3219,1674,32.345,63.147,0.237,0.587,0.064,2.381,1.238
021,135621,109027,21015,333,1922,27,1770,1527,80.391,15.495,0.246,1.417,0.02,1.305,1.126
022,137108,100321,29501,3674,500,45,1019,2048,73.169,21.517,2.68,0.365,0.033,0.743,1.494
023,135338,45504,87754,372,421,34,344,909,33.622,64.841,0.275,0.311,0.025,0.254,0.672
024,137724,47152,87072,269,489,97,1504,1141,34.237,63.222,0.195,0.355,0.07,1.092,0.828
025,135492,97007,30917,449,3957,77,1302,1783,71.596,22.818,0.331,2.92,0.057,0.961,1.316
026,136451,26615,102520,322,1276,140,3880,1698,19.505,75.133,0.236,0.935,0.103,2.844,1.244
027,137918,100734,29174,447,3356,86,2147,1974,73.039,21.153,0.324,2.433,0.062,1.557,1.431
028,137909,49580,82511,428,545,185,2636,2024,35.951,59.83,0.31,0.395,0.134,1.911,1.468
029,137921,110291,20703,836,1223,73,1986,2809,79.967,15.011,0.606,0.887,0.053,1.44,2.037
030,135374,100655,29718,484,840,107,1661,1909,74.353,21.953,0.358,0.621,0.079,1.227,1.41
031,137917,103304,26751,1183,1563,137,2312,2667,74.903,19.396,0.858,1.133,0.099,1.676,1.934
032,137918,120131,10815,703,1085,79,3145,1960,87.103,7.842,0.51,0.787,0.057,2.28,1.421
033,136214,34979,97587,412,762,19,820,1635,25.679,71.642,0.302,0.559,0.014,0.602,1.2
034,135267,110133,17163,2340,2124,59,1430,2018,81.419,12.688,1.73,1.57,0.044,1.057,1.492
035,135232,100078,25838,708,4652,126,1567,2263,74.005,19.106,0.524,3.44,0.093,1.159,1.673
