district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,82506,69679,1699,1115,4320,229,3475,1989,84.453,2.059,1.351,5.236,0.278,4.212,2.411
002,84143,74077,518,2248,1267,75,3634,2324,88.037,0.616,2.672,1.506,0.089,4.319,2.762
003,83700,65186,814,1013,1245,481,12694,2267,77.881,0.973,1.21,1.487,0.575,15.166,2.708
004,82790,70162,4466,902,2316,176,2208,2560,84.747,5.394,1.09,2.797,0.213,2.667,3.092
005,83003,77150,405,1260,377,69,1902,1840,92.948,0.488,1.518,0.454,0.083,2.291,2.217
006,83484,75178,1020,745,943,38,4062,1498,90.051,1.222,0.892,1.13,0.046,4.866,1.794
007,83643,58727,1288,769,1562,3829,15182,2286,70.211,1.54,0.919,1.867,4.578,18.151,2.733
008,82321,67714,3798,1596,2619,61,3622,2911,82.256,4.614,1.939,3.181,0.074,4.4,3.536
009,83979,63199,4816,1644,3663,71,7713,2873,75.256,5.735,1.958,4.362,0.085,9.184,3.421
010,83387,66654,10156,737,392,37,3853,1558,79.933,12.179,0.884,0.47,0.044,4.621,1.868
011,82845,58698,17211,898,334,23,4093,1588,70.853,20.775,1.084,0.403,0.028,4.941,1.917
012,82718,55672,24279,296,389,13,1043,1026,67.303,29.352,0.358,0.47,0.016,1.261,1.24
013,83913,73704,6636,479,346,35,1185,1528,87.834,7.908,0.571,0.412,0.042,1.412,1.821
014,82205,72210,5809,430,548,33,1499,1676,87.841,7.066,0.523,0.667,0.04,1.823,2.039
015,82158,73074,5582,512,605,19,898,1468,88.943,6.794,0.623,0.736,0.023,1.093,1.787
016,84332,76359,1838,686,680,38,2873,1858,90.546,2.179,0.813,0.806,0.045,3.407,2.203
017,83886,81160,150,542,331,45,346,1312,96.75,0.179,0.646,0.395,0.054,0.412,1.564
018,82355,79491,256,560,183,29,462,1374,96.522,0.311,0.68,0.222,0.035,0.561,1.668
019,83903,79172,1077,533,403,49,1382,1287,94.361,1.284,0.635,0.48,0.058,1.647,1.534
020,85951,83185,502,369,171,13,593,1118,96.782,0.584,0.429,0.199,0.015,0.69,1.301
021,84049,66406,12542,305,1055,29,2156,1556,79.009,14.922,0.363,1.255,0.035,2.565,1.851
022,80311,59596,17680,220,294,7,1396,1118,74.207,22.014,0.274,0.366,0.009,1.738,1.392
023,82024,60203,18975,377,287,33,999,1150,73.397,23.133,0.46,0.35,0.04,1.218,1.402
024,87147,35227,49716,248,445,11,564,936,40.423,57.048,0.285,0.511,0.013,0.647,1.074
025,81544,31515,47594,190,481,11,826,927,38.648,58.366,0.233,0.59,0.013,1.013,1.137
026,82927,54787,23835,265,251,14,2874,901,66.067,28.742,0.32,0.303,0.017,3.466,1.086
027,82583,52694,26957,267,463,21,1088,1093,63.807,32.642,0.323,0.561,0.025,1.317,1.324
028,84832,68063,13040,339,477,37,1511,1365,80.233,15.372,0.4,0.562,0.044,1.781,1.609
029,82646,77142,2047,509,642,37,690,1579,93.34,2.477,0.616,0.777,0.045,0.835,1.911
030,80763,29752,45496,347,613,108,2502,1945,36.839,56.333,0.43,0.759,0.134,3.098,2.408
031,83517,23576,51385,298,1236,40,5409,1573,28.229,61.526,0.357,1.48,0.048,6.477,1.883
032,82467,62007,14949,275,2943,36,980,1277,75.19,18.127,0.333,3.569,0.044,1.188,1.548
033,86303,75858,4850,459,1629,22,2110,1375,87.897,5.62,0.532,1.888,0.025,2.445,1.593
034,86043,62349,17644,397,1400,53,2027,2173,72.463,20.506,0.461,1.627,0.062,2.356,2.525
035,81540,65603,10865,418,1192,41,1720,1701,80.455,13.325,0.513,1.462,0.05,2.109,2.086
