district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,935336,798281,14738,15343,35404,1693,32250,37627,85.347,1.576,1.64,3.785,0.181,3.448,4.023
002,928077,725114,17111,23945,32388,2273,84989,42257,78.131,1.844,2.58,3.49,0.245,9.158,4.553
003,928167,582540,71283,7277,104749,5033,101141,56144,62.762,7.68,0.784,11.286,0.542,10.897,6.049
004,937962,699694,31384,14260,58141,3461,79739,51283,74.597,3.346,1.52,6.199,0.369,8.501,5.467
005,939163,519665,60816,10328,112994,5888,170048,59424,55.333,6.476,1.1,12.031,0.627,18.106,6.327
006,936301,454260,119445,10075,169766,11715,104073,66967,48.516,12.757,1.076,18.132,1.251,11.115,7.152
007,924708,597199,54767,4990,132016,4087,78399,53250,64.582,5.923,0.54,14.277,0.442,8.478,5.759
008,929712,640502,37142,16301,76387,2140,114593,42647,68.893,3.995,1.753,8.216,0.23,12.326,4.587
009,940601,383423,184554,6318,191450,4613,114480,55763,40.764,19.621,0.672,20.354,0.49,12.171,5.928
010,923707,326293,54629,5825,366848,10222,105402,54488,35.324,5.914,0.631,39.715,1.107,11.411,5.899
011,930853,421819,53181,4532,336069,4498,66714,44040,45.315,5.713,0.487,36.103,0.483,7.167,4.731
012,933222,506930,29652,15132,46573,2473,289683,42779,54.32,3.177,1.621,4.991,0.265,31.041,4.584
013,927480,532653,22712,4074,217712,10458,92316,47555,57.43,2.449,0.439,23.473,1.128,9.953,5.127
014,935376,454805,47193,15414,43831,933,334166,39034,48.623,5.045,1.648,4.686,0.1,35.725,4.173
015,928584,438485,25342,7459,277781,3441,131201,44875,47.221,2.729,0.803,29.914,0.371,14.129,4.833
016,922123,626052,46188,15103,37189,2342,150599,44650,67.892,5.009,1.638,4.033,0.254,16.332,4.842
017,931341,654778,20515,9032,66570,2968,132461,45017,70.305,2.203,0.97,7.148,0.319,14.223,4.834
018,928725,514765,40465,6732,78024,1132,245897,41710,55.427,4.357,0.725,8.401,0.122,26.477,4.491
019,928850,612070,19364,11927,48641,2050,191684,43114,65.895,2.085,1.284,5.237,0.221,20.637,4.642
020,935935,456082,81939,10329,55401,2660,286108,43416,48.73,8.755,1.104,5.919,0.284,30.569,4.639
021,930282,539926,108223,9123,46028,2503,175765,48714,58.039,11.633,0.981,4.948,0.269,18.894,5.236
022,929298,371891,16149,7691,295474,1043,204209,32841,40.018,1.738,0.828,31.795,0.112,21.975,3.534
023,933807,592729,71643,11731,55832,2796,151489,47587,63.474,7.672,1.256,5.979,0.299,16.223,5.096
024,933510,394264,31600,9921,158715,863,297384,40763,42.235,3.385,1.063,17.002,0.092,31.857,4.367
025,926935,616096,47210,4836,128371,1014,85551,43857,66.466,5.093,0.522,13.849,0.109,9.229,4.731
026,927757,671736,33999,3219,129098,1635,44061,44009,72.404,3.665,0.347,13.915,0.176,4.749,4.744
027,935656,663005,26929,4437,103057,1171,94719,42338,70.86,2.878,0.474,11.014,0.125,10.123,4.525
028,930072,629838,36349,9071,48132,2108,163515,41059,67.719,3.908,0.975,5.175,0.227,17.581,4.415
029,925494,461695,25696,5893,246437,2827,143437,39509,49.886,2.776,0.637,26.628,0.305,15.498,4.269
030,922496,301379,261354,6981,54442,1083,255513,41744,32.67,28.331,0.757,5.902,0.117,27.698,4.525
031,940612,491449,86637,8962,69672,3828,232542,47522,52.248,9.211,0.953,7.407,0.407,24.722,5.052
032,933406,486172,36328,9234,136658,3043,222248,39723,52.086,3.892,0.989,14.641,0.326,23.81,4.256
033,926972,416401,84607,8272,58463,5455,311815,41959,44.921,9.127,0.892,6.307,0.588,33.638,4.526
034,927893,476911,14170,6603,192036,3676,198259,36238,51.397,1.527,0.712,20.696,0.396,21.367,3.905
035,934615,311847,202381,6833,109040,8743,252159,43612,33.366,21.654,0.731,11.667,0.935,26.98,4.666
036,938083,713231,21658,5972,64467,4173,84336,44246,76.031,2.309,0.637,6.872,0.445,8.99,4.717
037,937986,631689,13649,4164,164611,2304,80150,41419,67.345,1.455,0.444,17.549,0.246,8.545,4.416
038,929760,656852,32634,10941,63342,3411,115615,46965,70.647,3.51,1.177,6.813,0.367,12.435,5.051
039,928044,629578,45044,5078,139532,3514,58266,47032,67.839,4.854,0.547,15.035,0.379,6.278,5.068
040,935055,451835,70392,9443,109666,5116,240396,48207,48.322,7.528,1.01,11.728,0.547,25.709,5.156
