district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,47851,28369,456,11913,255,35,4737,2086,59.286,0.953,24.896,0.533,0.073,9.899,4.359
002,47780,35534,249,5723,173,18,4401,1682,74.37,0.521,11.978,0.362,0.038,9.211,3.52
003,48405,7307,198,36429,231,29,2586,1625,15.096,0.409,75.259,0.477,0.06,5.342,3.357
004,48977,10662,256,34280,392,19,2007,1361,21.769,0.523,69.992,0.8,0.039,4.098,2.779
005,49382,31966,272,3507,1092,24,10995,1526,64.732,0.551,7.102,2.211,0.049,22.265,3.09
006,49988,32983,213,3441,414,22,10499,2416,65.982,0.426,6.884,0.828,0.044,21.003,4.833
007,49004,37032,2026,587,584,40,6948,1787,75.569,4.134,1.198,1.192,0.082,14.178,3.647
008,48135,35657,547,799,382,40,9043,1667,74.077,1.136,1.66,0.794,0.083,18.787,3.463
009,48942,38057,927,1733,894,39,5638,1654,77.759,1.894,3.541,1.827,0.08,11.52,3.38
010,48723,35299,1515,2405,1026,56,6091,2331,72.448,3.109,4.936,2.106,0.115,12.501,4.784
011,48958,28079,1322,1714,311,31,15422,2079,57.353,2.7,3.501,0.635,0.063,31.5,4.246
012,48836,29948,1629,2273,892,41,11687,2366,61.324,3.336,4.654,1.827,0.084,23.931,4.845
013,48945,34474,733,1961,621,36,9145,1975,70.434,1.498,4.007,1.269,0.074,18.684,4.035
014,48819,27806,1269,1705,313,33,15728,1965,56.957,2.599,3.492,0.641,0.068,32.217,4.025
015,49229,34505,1693,3183,1229,55,6162,2402,70.091,3.439,6.466,2.496,0.112,12.517,4.879
016,48382,35771,1871,2324,1378,61,4611,2366,73.935,3.867,4.803,2.848,0.126,9.53,4.89
017,48110,28471,2572,3667,1516,87,9171,2626,59.179,5.346,7.622,3.151,0.181,19.063,5.458
018,49450,40222,1371,1695,1395,54,2671,2042,81.339,2.772,3.428,2.821,0.109,5.401,4.129
019,49455,40804,630,999,1010,46,4297,1669,82.507,1.274,2.02,2.042,0.093,8.689,3.375
020,49877,39974,1580,1687,1652,33,2969,1982,80.145,3.168,3.382,3.312,0.066,5.953,3.974
021,48167,39193,808,1083,2687,42,2711,1643,81.369,1.677,2.248,5.579,0.087,5.628,3.411
022,46784,11010,392,31321,234,22,2783,1022,23.534,0.838,66.948,0.5,0.047,5.949,2.185
023,48189,36068,1439,1609,955,65,5614,2439,74.847,2.986,3.339,1.982,0.135,11.65,5.061
024,49690,35745,507,1196,615,44,9604,1979,71.936,1.02,2.407,1.238,0.089,19.328,3.983
025,49805,43080,383,1009,673,20,3172,1468,86.497,0.769,2.026,1.351,0.04,6.369,2.947
026,48495,28800,1548,2300,743,73,12572,2459,59.388,3.192,4.743,1.532,0.151,25.924,5.071
027,48643,36466,1752,563,480,28,7614,1740,74.967,3.602,1.157,0.987,0.058,15.653,3.577
028,49124,41407,456,1113,343,30,4370,1405,84.291,0.928,2.266,0.698,0.061,8.896,2.86
029,51055,34436,560,4408,223,37,9318,2073,67.449,1.097,8.634,0.437,0.072,18.251,4.06
030,47464,25887,637,13065,291,34,6034,1516,54.54,1.342,27.526,0.613,0.072,12.713,3.194
031,48856,35269,580,389,317,45,11154,1102,72.19,1.187,0.796,0.649,0.092,22.83,2.256
032,49728,29957,1111,4054,214,42,12651,1699,60.242,2.234,8.152,0.43,0.084,25.44,3.417
033,49497,39836,1117,1049,415,76,5191,1813,80.482,2.257,2.119,0.838,0.154,10.488,3.663
034,49967,37793,1488,615,589,98,7558,1826,75.636,2.978,1.231,1.179,0.196,15.126,3.654
035,49365,40210,461,685,251,28,6396,1334,81.454,0.934,1.388,0.508,0.057,12.957,2.702
036,49920,37185,779,857,309,27,9089,1674,74.489,1.56,1.717,0.619,0.054,18.207,3.353
037,49843,37754,1159,730,743,53,7692,1712,75.746,2.325,1.465,1.491,0.106,15.432,3.435
038,49350,36099,993,1005,789,55,8843,1566,73.149,2.012,2.036,1.599,0.111,17.919,3.173
039,48523,36045,478,1087,306,40,8827,1740,74.284,0.985,2.24,0.631,0.082,18.191,3.586
040,49722,37339,1392,1793,748,101,5862,2487,75.096,2.8,3.606,1.504,0.203,11.79,5.002
041,49976,35245,1975,649,150,38,10488,1431,70.524,3.952,1.299,0.3,0.076,20.986,2.863
042,49768,40132,1206,617,373,13,6152,1275,80.638,2.423,1.24,0.749,0.026,12.361,2.562
