district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,314642,267949,17733,1739,6438,209,14122,6452,85.16,5.636,0.553,2.046,0.066,4.488,2.051
002,314984,276168,9984,423,17342,61,5863,5143,87.677,3.17,0.134,5.506,0.019,1.861,1.633
003,314507,236990,28194,1465,8882,92,28650,10234,75.353,8.965,0.466,2.824,0.029,9.109,3.254
004,314594,243783,31900,1003,9715,75,19869,8249,77.491,10.14,0.319,3.088,0.024,6.316,2.622
005,314993,261088,10887,607,24479,71,11592,6269,82.887,3.456,0.193,7.771,0.023,3.68,1.99
006,314641,217533,48331,800,16591,102,23432,7852,69.137,15.361,0.254,5.273,0.032,7.447,2.496
007,314977,218978,24617,781,45050,57,16877,8617,69.522,7.815,0.248,14.303,0.018,5.358,2.736
008,314596,226219,50602,1064,7661,74,20948,8028,71.908,16.085,0.338,2.435,0.024,6.659,2.552
009,314948,235166,38025,669,17080,90,16823,7095,74.668,12.073,0.212,5.423,0.029,5.342,2.253
010,318047,42795,170370,3579,37093,424,41942,21844,13.456,53.568,1.125,11.663,0.133,13.187,6.868
011,318908,169451,12981,895,106068,138,19056,10319,53.135,4.07,0.281,33.26,0.043,5.975,3.236
012,319097,165704,19544,2557,63083,205,53410,14594,51.929,6.125,0.801,19.769,0.064,16.738,4.574
013,318655,126864,26240,3401,52308,144,92322,17376,39.812,8.235,1.067,16.415,0.045,28.972,5.453
014,318294,54302,169976,2430,45709,310,29915,15652,17.06,53.402,0.763,14.361,0.097,9.399,4.917
015,318818,222713,15068,1499,37275,136,31410,10717,69.856,4.726,0.47,11.692,0.043,9.852,3.361
016,318903,104224,12504,1003,170251,173,20337,10411,32.682,3.921,0.315,53.386,0.054,6.377,3.265
017,317801,224531,9791,1193,57915,105,17811,6455,70.651,3.081,0.375,18.224,0.033,5.604,2.031
018,316242,116675,79412,3701,17168,333,82723,16230,36.894,25.111,1.17,5.429,0.105,26.158,5.132
019,316700,72366,194037,1603,21657,131,18450,8456,22.85,61.268,0.506,6.838,0.041,5.826,2.67
020,316594,65278,181568,1903,30037,136,27729,9943,20.619,57.35,0.601,9.488,0.043,8.759,3.141
021,317171,80490,185861,1550,20080,110,18767,10313,25.377,58.6,0.489,6.331,0.035,5.917,3.252
022,317799,217410,4086,732,72257,174,16589,6551,68.411,1.286,0.23,22.737,0.055,5.22,2.061
023,317108,176325,59010,1869,38102,152,31226,10424,55.604,18.609,0.589,12.015,0.048,9.847,3.287
024,318723,273883,7268,616,22960,111,8360,5525,85.931,2.28,0.193,7.204,0.035,2.623,1.733
025,315939,82166,185862,1844,12001,173,22230,11663,26.007,58.828,0.584,3.799,0.055,7.036,3.692
026,317468,202805,16654,850,71069,115,16424,9551,63.882,5.246,0.268,22.386,0.036,5.173,3.008
027,317748,235073,17499,793,42103,140,11653,10487,73.981,5.507,0.25,13.25,0.044,3.667,3.3
028,317856,268422,7223,353,31208,105,4008,6537,84.448,2.272,0.111,9.818,0.033,1.261,2.057
029,316554,114443,86082,4044,13090,277,81798,16820,36.153,27.193,1.278,4.135,0.088,25.84,5.313
030,315897,92196,149361,2586,15200,240,41352,14962,29.185,47.282,0.819,4.812,0.076,13.09,4.736
