district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,201072,116539,62529,889,6643,369,5465,8638,57.959,31.098,0.442,3.304,0.184,2.718,4.296
002,200193,79753,103943,865,4997,231,2854,7550,39.838,51.921,0.432,2.496,0.115,1.426,3.771
003,203449,169921,22986,1073,3560,89,1377,4443,83.52,11.298,0.527,1.75,0.044,0.677,2.184
004,201941,153625,38773,807,2294,105,2299,4038,76.074,19.2,0.4,1.136,0.052,1.138,2.0
005,200751,73698,110963,810,4979,174,3686,6441,36.711,55.274,0.403,2.48,0.087,1.836,3.208
006,196367,123902,53379,1042,5603,357,5451,6633,63.097,27.183,0.531,2.853,0.182,2.776,3.378
007,199020,131555,42788,801,12253,288,3687,7648,66.101,21.499,0.402,6.157,0.145,1.853,3.843
008,198279,141564,33401,761,10082,305,4159,8007,71.396,16.845,0.384,5.085,0.154,2.098,4.038
009,198943,80706,106450,1243,3793,91,2142,4518,40.567,53.508,0.625,1.907,0.046,1.077,2.271
010,199977,138475,44195,603,6597,96,5541,4470,69.245,22.1,0.302,3.299,0.048,2.771,2.235
011,201788,142424,41653,824,5581,129,6061,5116,70.581,20.642,0.408,2.766,0.064,3.004,2.535
012,203630,150352,25227,530,17974,75,4752,4720,73.836,12.389,0.26,8.827,0.037,2.334,2.318
013,202920,146476,15045,554,26659,96,6272,7818,72.184,7.414,0.273,13.138,0.047,3.091,3.853
014,199604,146080,36734,672,8435,164,1640,5879,73.185,18.403,0.337,4.226,0.082,0.822,2.945
015,196759,135016,55493,583,886,71,2093,2617,68.62,28.204,0.296,0.45,0.036,1.064,1.33
016,200841,74207,108652,880,3096,261,8635,5110,36.948,54.099,0.438,1.542,0.13,4.299,2.544
017,204024,148539,36084,716,4256,190,7705,6534,72.805,17.686,0.351,2.086,0.093,3.777,3.203
018,199934,81623,109423,673,2136,152,1801,4126,40.825,54.73,0.337,1.068,0.076,0.901,2.064
019,199356,185278,7483,387,2305,43,1444,2416,92.938,3.754,0.194,1.156,0.022,0.724,1.212
020,201089,135888,57043,409,938,38,3978,2795,67.576,28.367,0.203,0.466,0.019,1.978,1.39
021,200511,152120,32406,483,7414,87,3070,4931,75.866,16.162,0.241,3.698,0.043,1.531,2.459
022,196185,138035,50730,766,1528,67,1442,3617,70.36,25.858,0.39,0.779,0.034,0.735,1.844
023,200733,173538,19192,507,3044,57,1397,2998,86.452,9.561,0.253,1.516,0.028,0.696,1.494
024,204024,181909,13372,471,1512,48,2931,3781,89.161,6.554,0.231,0.741,0.024,1.437,1.853
025,198245,165121,19021,559,6821,77,2572,4074,83.291,9.595,0.282,3.441,0.039,1.297,2.055
026,201484,180374,6836,576,2578,92,7047,3981,89.523,3.393,0.286,1.28,0.046,3.498,1.976
027,203166,174454,13771,651,2762,110,6779,4639,85.868,6.778,0.32,1.359,0.054,3.337,2.283
028,200017,150618,28469,906,7275,195,5303,7251,75.303,14.233,0.453,3.637,0.097,2.651,3.625
029,203988,104501,45431,1271,15162,305,26478,10840,51.229,22.271,0.623,7.433,0.15,12.98,5.314
030,196030,135368,26505,850,12605,182,13386,7134,69.055,13.521,0.434,6.43,0.093,6.829,3.639
031,200905,148296,11131,784,24440,146,8709,7399,73.814,5.54,0.39,12.165,0.073,4.335,3.683
032,198617,147196,10177,497,28109,101,5344,7193,74.11,5.124,0.25,14.152,0.051,2.691,3.622
033,196178,112298,18675,775,37845,116,17520,8949,57.243,9.519,0.395,19.291,0.059,8.931,4.562
034,196312,132960,10592,590,37132,174,7397,7467,67.729,5.395,0.301,18.915,0.089,3.768,3.804
035,196251,106787,24058,1073,32206,165,23340,8622,54.413,12.259,0.547,16.411,0.084,11.893,4.393
036,199138,105909,48242,1251,14704,273,18696,10063,53.184,24.225,0.628,7.384,0.137,9.388,5.053
037,198267,119378,14328,630,44632,143,10921,8235,60.211,7.227,0.318,22.511,0.072,5.508,4.153
038,201414,189958,7441,291,961,24,696,2043,94.312,3.694,0.144,0.477,0.012,0.346,1.014
039,201164,122722,34229,749,25432,246,9006,8780,61.006,17.015,0.372,12.642,0.122,4.477,4.365
040,198458,189689,4549,423,661,48,1202,1886,95.581,2.292,0.213,0.333,0.024,0.606,0.95
