district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,127614,447,93075,3328,26202,2119,2219,224,0.35,72.935,2.608,20.532,1.66,1.739,0.176
002,132543,398,57538,2829,66470,2161,3007,140,0.3,43.411,2.134,50.15,1.63,2.269,0.106
003,129192,457,95484,1342,28065,1667,2049,128,0.354,73.909,1.039,21.723,1.29,1.586,0.099
004,131149,348,94143,1389,30454,1367,3357,91,0.265,71.783,1.059,23.221,1.042,2.56,0.069
005,119823,918,47063,12767,33277,3802,21891,105,0.766,39.277,10.655,27.772,3.173,18.269,0.088
006,137161,386,89022,6889,30590,2825,7371,78,0.281,64.903,5.023,22.302,2.06,5.374,0.057
007,128025,396,94540,758,27071,1000,4204,56,0.309,73.845,0.592,21.145,0.781,3.284,0.044
008,128253,506,81632,1470,40080,1641,2807,117,0.395,63.649,1.146,31.251,1.28,2.189,0.091
009,125254,375,85994,9774,22663,2273,4122,53,0.299,68.656,7.803,18.094,1.815,3.291,0.042
010,125304,302,33205,3368,84709,1865,1810,45,0.241,26.5,2.688,67.603,1.488,1.444,0.036
011,127856,576,80773,702,39947,1154,4660,44,0.451,63.175,0.549,31.244,0.903,3.645,0.034
012,130407,316,48429,1051,76599,984,2913,115,0.242,37.137,0.806,58.738,0.755,2.234,0.088
013,128659,291,82619,1248,40677,947,2823,54,0.226,64.215,0.97,31.616,0.736,2.194,0.042
014,126557,540,106266,1993,10603,1846,5195,114,0.427,83.967,1.575,8.378,1.459,4.105,0.09
015,128462,509,51783,1506,69203,2248,2947,266,0.396,40.31,1.172,53.87,1.75,2.294,0.207
016,127450,357,96140,2370,25465,1449,1611,58,0.28,75.434,1.86,19.98,1.137,1.264,0.046
017,121373,339,82216,1601,33663,1569,1920,65,0.279,67.738,1.319,27.735,1.293,1.582,0.054
018,132567,419,91443,1981,35668,1324,1674,58,0.316,68.979,1.494,26.906,0.999,1.263,0.044
019,128915,416,87379,912,33460,1477,5122,149,0.323,67.78,0.707,25.955,1.146,3.973,0.116
020,128979,331,87175,2427,35317,1569,2081,79,0.257,67.589,1.882,27.382,1.216,1.613,0.061
021,125212,304,106682,6463,7721,1751,2259,32,0.243,85.201,5.162,6.166,1.398,1.804,0.026
022,129039,478,50284,2341,71660,2355,1669,252,0.37,38.968,1.814,55.534,1.825,1.293,0.195
023,128540,366,79672,1696,43833,1373,1495,105,0.285,61.982,1.319,34.101,1.068,1.163,0.082
024,128655,313,97413,3184,24424,1535,1691,95,0.243,75.716,2.475,18.984,1.193,1.314,0.074
025,134483,338,91473,1372,38282,1104,1855,59,0.251,68.018,1.02,28.466,0.821,1.379,0.044
026,126588,298,49946,881,72782,1210,1354,117,0.235,39.456,0.696,57.495,0.956,1.07,0.092
027,120121,366,104039,7229,2998,1367,4087,35,0.305,86.612,6.018,2.496,1.138,3.402,0.029
028,126140,400,99672,1638,20138,1472,2759,61,0.317,79.017,1.299,15.965,1.167,2.187,0.048
029,131011,392,91406,3052,32576,1591,1847,147,0.299,69.77,2.33,24.865,1.214,1.41,0.112
030,125663,428,96394,1085,23275,1691,2743,47,0.341,76.708,0.863,18.522,1.346,2.183,0.037
031,124828,368,103107,1048,15799,1506,2942,58,0.295,82.599,0.84,12.657,1.206,2.357,0.046
032,130854,251,106743,9135,10791,1903,1978,53,0.192,81.574,6.981,8.247,1.454,1.512,0.041
033,128718,512,68439,3719,43422,2998,9549,79,0.398,53.17,2.889,33.734,2.329,7.419,0.061
034,123516,447,31583,5881,75265,2299,7973,68,0.362,25.57,4.761,60.935,1.861,6.455,0.055
035,122650,375,42226,1634,72472,2057,3797,89,0.306,34.428,1.332,59.088,1.677,3.096,0.073
036,137631,407,48971,3290,78481,2640,3796,46,0.296,35.581,2.39,57.023,1.918,2.758,0.033
037,126053,348,94965,4829,20606,2082,3175,48,0.276,75.337,3.831,16.347,1.652,2.519,0.038
038,129186,378,37876,2880,80556,2171,5263,62,0.293,29.319,2.229,62.357,1.681,4.074,0.048
039,139465,371,43356,6627,83562,2617,2884,48,0.266,31.087,4.752,59.916,1.876,2.068,0.034
