district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,175566,1136,141243,1804,19414,3048,8861,60,0.647,80.45,1.028,11.058,1.736,5.047,0.034
002,165128,610,107940,12473,28370,3967,11712,56,0.369,65.367,7.554,17.181,2.402,7.093,0.034
003,167430,692,130656,2710,23928,2570,6830,44,0.413,78.036,1.619,14.291,1.535,4.079,0.026
004,169456,365,128744,5277,28697,2520,3815,38,0.215,75.975,3.114,16.935,1.487,2.251,0.022
005,166884,622,107012,4250,35477,3105,16341,77,0.373,64.124,2.547,21.258,1.861,9.792,0.046
006,173600,356,133260,14201,16988,2776,5975,44,0.205,76.763,8.18,9.786,1.599,3.442,0.025
007,168952,331,118359,7536,35841,3444,3370,71,0.196,70.055,4.46,21.214,2.038,1.995,0.042
008,167024,352,138847,5860,15665,2889,3344,67,0.211,83.13,3.508,9.379,1.73,2.002,0.04
009,180939,263,166240,4515,5358,1776,2757,30,0.145,91.876,2.495,2.961,0.982,1.524,0.017
010,182076,254,168922,4041,4254,1756,2804,45,0.14,92.776,2.219,2.336,0.964,1.54,0.025
011,173760,532,128070,7008,25854,3517,8688,91,0.306,73.705,4.033,14.879,2.024,5.0,0.052
012,168869,308,138712,12043,11724,2520,3504,58,0.182,82.142,7.132,6.943,1.492,2.075,0.034
013,168635,187,149420,10816,4366,1622,2192,32,0.111,88.606,6.414,2.589,0.962,1.3,0.019
014,167078,329,126922,18722,12887,2442,5701,75,0.197,75.966,11.206,7.713,1.462,3.412,0.045
015,165602,601,92154,13755,44107,3747,11094,144,0.363,55.648,8.306,26.634,2.263,6.699,0.087
016,163760,215,125302,24513,7672,2521,3483,54,0.131,76.516,14.969,4.685,1.539,2.127,0.033
017,173430,645,83828,35777,32790,4969,15368,53,0.372,48.335,20.629,18.907,2.865,8.861,0.031
018,166805,267,101816,46033,10519,3364,4759,47,0.16,61.039,27.597,6.306,2.017,2.853,0.028
019,171915,708,105506,25843,17067,4829,17892,70,0.412,61.371,15.032,9.928,2.809,10.407,0.041
020,170075,887,88907,7552,47742,5738,19176,73,0.522,52.275,4.44,28.071,3.374,11.275,0.043
021,157218,135,135812,12426,4679,1729,2403,34,0.086,86.385,7.904,2.976,1.1,1.528,0.022
022,163505,611,97226,7194,39196,4204,15015,59,0.374,59.464,4.4,23.972,2.571,9.183,0.036
023,164593,240,142230,10120,5790,2062,4105,46,0.146,86.413,6.148,3.518,1.253,2.494,0.028
024,163692,260,152271,3995,3418,1674,2033,41,0.159,93.023,2.441,2.088,1.023,1.242,0.025
025,161731,346,135492,8806,6557,2774,7707,49,0.214,83.776,5.445,4.054,1.715,4.765,0.03
026,167590,269,140106,19053,3426,2196,2521,19,0.161,83.6,11.369,2.044,1.31,1.504,0.011
027,163705,225,122790,14819,20216,2446,3176,33,0.137,75.007,9.052,12.349,1.494,1.94,0.02
028,168148,647,55304,7148,90245,3834,10894,76,0.385,32.89,4.251,53.67,2.28,6.479,0.045
029,171386,948,68942,5924,59053,7264,29173,82,0.553,40.226,3.457,34.456,4.238,17.022,0.048
030,154290,354,136783,3080,6586,1836,5611,40,0.229,88.653,1.996,4.269,1.19,3.637,0.026
031,171583,587,70103,34633,43736,5698,16756,70,0.342,40.857,20.184,25.49,3.321,9.766,0.041
032,174499,1341,116432,16497,7725,7313,25098,93,0.768,66.724,9.454,4.427,4.191,14.383,0.053
033,177622,1118,107188,23340,11888,7003,26983,102,0.629,60.346,13.14,6.693,3.943,15.191,0.057
034,164093,645,70045,7807,69062,4612,11860,62,0.393,42.686,4.758,42.087,2.811,7.228,0.038
035,161137,1273,80722,6115,37199,6667,29101,60,0.79,50.095,3.795,23.085,4.137,18.06,0.037
036,169657,715,114753,17359,8837,5319,22624,50,0.421,67.638,10.232,5.209,3.135,13.335,0.029
037,170580,515,90047,38537,25620,4224,11575,62,0.302,52.789,22.592,15.019,2.476,6.786,0.036
038,167624,234,129327,22325,5550,3156,6982,50,0.14,77.153,13.318,3.311,1.883,4.165,0.03
039,162946,378,139889,15668,2651,1822,2511,27,0.232,85.85,9.615,1.627,1.118,1.541,0.017
040,164097,133,145292,10538,3317,1860,2933,24,0.081,88.54,6.422,2.021,1.133,1.787,0.015
