district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,616458,4091,462406,4712,104346,8081,32582,240,0.664,75.01,0.764,16.927,1.311,5.285,0.039
002,582997,4621,433188,12558,68512,10988,52770,360,0.793,74.304,2.154,11.752,1.885,9.052,0.062
003,641369,3735,512118,3899,78643,7504,35269,201,0.582,79.848,0.608,12.262,1.17,5.499,0.031
004,597765,3681,448965,15651,81548,9406,38151,363,0.616,75.107,2.618,13.642,1.574,6.382,0.061
005,620718,3299,479604,23887,61517,11082,40883,446,0.531,77.266,3.848,9.911,1.785,6.586,0.072
006,551137,4808,317048,11412,66828,18258,132501,282,0.872,57.526,2.071,12.125,3.313,24.041,0.051
007,572446,2933,398909,46522,66380,12422,44733,547,0.512,69.685,8.127,11.596,2.17,7.814,0.096
008,572635,2920,400760,70315,55380,12288,30649,323,0.51,69.985,12.279,9.671,2.146,5.352,0.056
009,580100,4321,397877,33654,64596,13830,64398,1424,0.745,68.588,5.801,11.135,2.384,11.101,0.245
010,602461,3613,402735,22441,105038,12156,55929,549,0.6,66.848,3.725,17.435,2.018,9.283,0.091
011,582677,3266,430060,32903,61679,11112,43324,333,0.561,73.808,5.647,10.585,1.907,7.435,0.057
012,588816,3938,458477,33238,44473,11814,36440,436,0.669,77.864,5.645,7.553,2.006,6.189,0.074
013,590736,3883,181496,51366,257300,17643,78707,341,0.657,30.724,8.695,43.556,2.987,13.324,0.058
014,640349,4621,462515,39781,56664,16106,60214,448,0.722,72.229,6.212,8.849,2.515,9.403,0.07
015,574255,3829,310724,29195,132269,15357,82337,544,0.667,54.109,5.084,23.033,2.674,14.338,0.095
016,614614,3659,414348,56106,65383,13447,61355,316,0.595,67.416,9.129,10.638,2.188,9.983,0.051
017,605764,2645,395247,82106,74476,13705,37342,243,0.437,65.248,13.554,12.295,2.262,6.164,0.04
018,587890,2855,423109,34469,68665,9958,48637,197,0.486,71.971,5.863,11.68,1.694,8.273,0.034
019,566604,4521,431327,8470,39040,13248,69328,670,0.798,76.125,1.495,6.89,2.338,12.236,0.118
020,577960,2727,497715,8903,12163,9124,47080,248,0.472,86.116,1.54,2.104,1.579,8.146,0.043
021,567099,3775,457333,5691,21314,10736,67986,264,0.666,80.644,1.004,3.758,1.893,11.988,0.047
022,592255,3637,455068,12523,65059,9435,45735,798,0.614,76.836,2.114,10.985,1.593,7.722,0.135
023,576192,3667,224878,8782,232175,12275,94182,233,0.636,39.028,1.524,40.295,2.13,16.346,0.04
024,596939,4238,470251,11937,61203,13337,33724,2249,0.71,78.777,2.0,10.253,2.234,5.649,0.377
025,610120,3493,515813,16945,25314,12757,35080,718,0.573,84.543,2.777,4.149,2.091,5.75,0.118
026,589522,5726,426393,14828,41637,17706,82490,742,0.971,72.329,2.515,7.063,3.003,13.993,0.126
027,524120,1967,454628,3793,3490,7591,52521,130,0.375,86.741,0.724,0.666,1.448,10.021,0.025
028,586992,4185,473944,6695,33018,10266,58571,313,0.713,80.741,1.141,5.625,1.749,9.978,0.053
029,571426,4232,472715,6663,17386,11909,57842,679,0.741,82.725,1.166,3.043,2.084,10.122,0.119
030,623474,5672,533721,8744,31433,10554,33012,338,0.91,85.604,1.402,5.042,1.693,5.295,0.054
031,573847,4935,462216,8233,26994,10131,61072,266,0.86,80.547,1.435,4.704,1.765,10.643,0.046
